date,time,lat,lon,depth,mw,str1,dip1,rake1,str2,dip2,rake2,mo,fac,mpp,mpr,mrr,mrt,mtp,mtt
1983-08-21,08:34:46.20,4.01,126.68,39.2,5.8,183,44,88,6,46,92,6.85E+024,24,,,,,,
1983-09-10,01:36:50.70,-0.31,125.36,28.5,5.7,235,31,121,20,64,73,4.85E+024,24,,,,,,
1983-09-16,04:21:58.90,0.06,122.16,253.6,5.8,174,23,-162,67,83,-68,6.31E+024,24,,,,,,
1983-10-16,05:32:34.10,1.15,120.94,30.1,6.4,57,14,51,278,79,99,4.94E+025,25,,,,,,
1983-10-25,00:36:31.60,1.36,121.09,15,6.4,58,18,39,290,79,104,5.9E+025,25,,,,,,
1983-10-26,10:46:16.30,1.83,122.09,496.9,5.7,267,69,3,176,88,159,4.63E+024,24,,,,,,
1983-10-27,19:43:55.50,1.46,120.72,60,6.4,41,38,27,290,74,125,5.8E+025,25,,,,,,
1983-11-10,23:33:55.00,4.22,123.17,543.7,5.5,175,15,-119,25,77,-83,2.28E+024,24,,,,,,
1983-11-19,04:31:59.60,1.99,126.94,44.7,5.4,356,28,76,192,63,97,1.36E+024,24,,,,,,
1984-01-08,15:24:20.60,-2.77,118.72,14.8,6.7,13,16,89,194,74,90,1.21E+026,25,,,,,,
1984-01-26,22:46:33.30,2.91,122.7,623.8,5.3,125,75,6,33,84,165,9.52E+023,23,,,,,,
1984-03-12,09:48:28.20,3.69,125.86,117.8,5.2,48,21,-70,206,70,-98,7.27E+023,23,,,,,,
1984-03-17,15:17:18.20,3.22,122.5,529,5.4,338,17,70,179,74,96,1.81E+024,24,,,,,,
1984-03-18,03:17:11.20,-7.83,119.79,594.4,5.5,200,22,-38,325,76,-108,2.01E+024,24,,,,,,
1984-03-20,07:13:32.70,0.82,122.29,122.1,5.5,331,58,20,230,73,146,2.03E+024,24,,,,,,
1984-03-29,21:41:47.50,0.7,123.13,159.1,5.2,346,40,113,137,54,72,9.26E+023,23,,,,,,
1984-04-01,09:59:05.80,-5.67,125.03,606.4,5.9,60,46,-73,216,47,-107,7.98E+024,24,,,,,,
1984-04-10,14:10:39.50,4.95,125.27,29.8,5.6,19,26,133,154,71,72,2.98E+024,24,,,,,,
1984-05-15,15:23:03.40,0.84,119.61,49,5.4,319,21,-56,104,73,-102,1.4E+024,24,,,,,,
1984-05-18,22:48:43.00,0.16,123.37,125.3,5.3,117,53,35,4,63,138,9.97E+023,23,,,,,,
1984-05-21,01:51:00.60,2.58,126.72,13.8,5.1,38,44,131,167,59,58,5.36E+023,23,,,,,,
1984-06-06,05:38:26.50,-4.69,125.83,27.2,6.1,338,78,-168,246,79,-13,2.04E+025,25,,,,,,
1984-06-28,19:51:28.00,3.32,126.56,39.1,6.1,164,23,68,7,69,99,2.11E+025,25,,,,,,
1984-06-29,00:26:15.10,3.15,126.36,48.4,5.5,149,25,50,11,71,107,2.29E+024,24,,,,,,
1984-07-03,19:32:23.50,-7.09,121.23,589.6,5.4,250,25,-13,352,84,-114,1.71E+024,24,,,,,,
1984-07-09,17:22:25.90,-3.05,123.1,14.8,5.4,179,22,97,351,69,87,1.35E+024,23,,,,,,
1984-07-12,17:20:28.80,-7.2,125.8,448.5,5.4,305,27,-164,201,83,-64,17300,24,,,,,,
1984-07-23,16:03:50.10,1.36,126.64,19.3,6.3,42,21,116,194,72,81,3.82E+025,25,,,,,,
1984-08-01,02:20:35.20,-6,122.88,656.2,5.3,48,71,14,314,77,161,1.09E+024,24,,,,,,
1984-08-06,12:02:06.90,-0.29,122.38,252.8,7.4,116,33,-28,230,75,-120,1.47E+027,27,,,,,,
1984-08-15,13:18:28.40,0.4,122.57,87.7,5.5,209,51,138,329,59,48,2.09E+024,24,,,,,,
1984-09-16,00:25:48.40,4.62,125.5,167.1,5.3,175,39,116,325,58,73,9.75E+023,23,,,,,,
1984-09-16,10:23:47.90,-6.69,117.8,641.5,5.7,120,51,-35,233,64,-136,4.3E+024,24,,,,,,
1984-10-19,17:45:08.20,1.27,125.93,60.1,5.7,222,27,99,31,64,85,4.81E+024,24,,,,,,
1984-10-26,06:39:02.20,0.51,122.09,72.7,5.6,5,34,14,264,82,123,34900,24,,,,,,
1984-10-26,08:49:29.80,1.87,126.55,32.9,6.2,31,32,67,237,61,103,2.91E+025,25,,,,,,
1984-12-07,04:50:23.60,0.15,125.71,26.8,5.8,233,15,118,24,76,83,5.45E+024,24,,,,,,
1984-12-08,14:54:08.40,5,125.47,160.3,5.3,108,23,-140,340,75,-72,1.24E+024,24,,,,,,
1984-12-17,20:48:58.00,0.17,123.73,108.7,5.3,221,37,63,73,57,109,1.06E+024,23,,,,,,
1985-01-11,14:41:56.00,-0.21,123.79,145,6.1,192,25,64,40,68,101,2.03E+025,25,,,,,,
1985-02-03,11:03:25.90,-7.03,124.98,536.6,5.4,197,9,-152,80,86,-82,1.43E+024,24,,,,,,
1985-02-24,02:26:52.90,-2.43,119.42,40.5,5.9,44,61,165,142,77,30,9.8E+024,25,,,,,,
1985-02-25,08:34:11.60,-0.11,123.51,128.9,5.6,240,43,100,46,48,81,3.66E+024,24,,,,,,
1985-03-01,12:52:07.20,-2.17,120.24,10.6,5.5,307,41,-19,51,78,-130,2.43E+024,24,,,,,,
1985-03-01,17:11:21.60,-2.14,119.94,14.1,6.4,52,63,-159,312,72,-28,4.74E+025,25,,,,,,
1985-03-01,22:22:15.70,-1.97,120.11,10,5.9,61,37,176,153,88,53,8.32E+024,24,,,,,,
1985-03-02,15:47:40.20,-1.32,119.38,43.9,6.6,283,84,-3,14,87,-174,1.15E+026,26,,,,,,
1985-03-05,13:40:14.70,1.18,122.68,29.5,6.1,94,20,91,272,70,89,1.92E+025,25,,,,,,
1985-03-10,05:01:43.20,-0.17,123.38,43.9,5.5,348,77,-7,79,83,-167,2.17E+024,24,,,,,,
1985-03-25,18:58:55.40,1.37,122.57,31.5,5.6,75,21,81,265,69,94,3.23E+024,24,,,,,,
1985-04-13,03:00:14.60,1.77,126.71,39.8,6.9,12,34,69,216,58,103,2.82E+026,26,,,,,,
1985-05-02,15:56:32.20,1.77,126.27,37.8,5.5,192,35,120,337,60,71,2.66E+024,24,,,,,,
1985-05-09,18:22:53.00,2.59,126.61,32.1,5.6,49,24,89,229,66,90,2.89E+024,24,,,,,,
1985-05-21,19:12:52.80,0.29,121.34,149.2,5.3,335,28,95,150,62,87,1.04E+024,23,,,,,,
1985-08-07,06:24:04.80,0.32,119.75,75.8,5.4,161,66,155,261,67,26,1.61E+024,24,,,,,,
1985-08-13,00:25:21.90,-2.3,125.64,13.6,5.5,309,15,146,71,82,77,2.49E+024,24,,,,,,
1985-08-20,13:43:21.20,-1.03,126.65,41.3,5.3,343,24,69,186,67,99,1.16E+024,23,,,,,,
1985-10-25,18:12:22.70,-7.24,124.15,595.7,6,147,25,-26,260,80,-112,1.28E+025,25,,,,,,
1985-12-14,06:46:19.30,3.84,126.86,28.6,6.2,195,43,92,12,47,88,2.16E+025,25,,,,,,
1985-12-19,15:39:02.90,0,123.41,131.3,5.2,261,33,109,59,59,78,7.63E+023,23,,,,,,
1985-12-28,05:00:23.50,0.21,122.53,129.3,5.4,191,21,152,307,80,71,1.47E+024,24,,,,,,
1986-01-03,09:43:35.60,-0.84,126.74,31,6.1,329,18,66,174,74,98,1.53E+025,25,,,,,,
1986-01-22,14:57:20.10,0.21,124.01,82.8,5.6,354,54,170,90,82,36,3.61E+024,24,,,,,,
1986-03-21,21:35:39.00,-7.57,120.74,628.4,5.4,209,32,-52,347,66,-111,1.71E+024,24,,,,,,
1986-04-10,02:21:15.70,-1.45,126.76,15,6.1,297,29,6,201,87,119,2.08E+025,25,,,,,,
1986-04-21,23:36:25.40,1.83,126.42,15,5.9,355,36,43,229,66,118,8.82E+024,24,,,,,,
1986-05-08,14:37:37.50,4.6,125.47,144,6.4,271,12,13,169,87,102,4.5E+025,25,,,,,,
1986-05-14,03:04:13.60,1.5,126.94,101.3,5.3,125,21,177,217,89,69,1.26E+024,23,,,,,,
1986-05-27,08:54:07.20,-7.08,124.35,604.8,6,293,34,-98,122,57,-85,1.19E+025,25,,,,,,
1986-07-09,23:11:02.60,1.99,126.64,34.9,6.7,9,39,71,213,53,105,1.57E+026,26,,,,,,
1986-07-12,16:05:17.90,1.51,126.61,36.2,5.9,31,40,91,209,50,89,8.29E+024,24,,,,,,
1986-08-14,19:39:28.90,3.08,126.89,20.2,7.5,347,16,34,224,81,104,2.26E+027,27,,,,,,
1986-08-15,07:40:48.60,1.61,126.54,15,6.2,237,11,-68,35,80,-94,2.67E+025,25,,,,,,
1986-08-16,17:19:27.20,1.72,126.65,15,6.4,205,11,-94,29,79,-89,5.11E+025,25,,,,,,
1986-08-16,21:08:31.60,1.46,126.2,15,6,217,11,-147,94,84,-80,1.37E+025,25,,,,,,
1986-08-18,14:16:22.50,2.2,126.35,23.9,5.8,342,38,95,156,52,86,5.41E+024,24,,,,,,
1986-08-20,18:15:46.50,1.97,126.52,33,5.5,348,42,64,201,53,111,2.04E+024,24,,,,,,
1986-08-24,23:46:53.80,2.32,126.68,17.8,5.5,339,43,111,132,50,72,2.36E+024,24,,,,,,
1986-09-11,17:54:08.00,0.44,125.37,15,5.8,35,11,117,188,80,85,6.22E+024,24,,,,,,
1986-09-25,20:06:17.40,3.77,126.67,28,6,143,37,32,26,71,123,1.31E+025,24,,,,,,
1986-12-07,14:40:32.90,0.73,124.5,200.2,6,173,34,20,67,79,122,1.38E+025,24,,,,,,
1986-12-21,11:34:49.90,2.83,125.96,86.9,5.4,180,35,72,21,56,102,1.76E+024,24,,,,,,
1986-12-22,02:04:22.40,0.87,121.37,87.4,5.6,316,72,-175,225,85,-19,3.04E+024,24,,,,,,
1987-01-23,17:51:13.60,2.23,126.56,55.2,5.9,355,41,69,203,53,108,8.62E+024,24,,,,,,
1987-01-29,02:43:50.50,1.25,126.23,47.2,6.4,358,45,58,220,53,118,4.62E+025,25,,,,,,
1987-02-08,17:48:59.40,1.68,126.59,57.7,6.2,337,48,25,230,72,135,2.46E+025,25,,,,,,
1987-02-13,07:18:37.20,0.79,126.27,37.1,6.7,18,42,83,207,49,96,1.39E+026,26,,,,,,
1987-02-16,09:38:17.30,1.15,126.46,37.3,5.4,20,43,55,244,56,118,1.47E+024,24,,,,,,
1987-02-16,17:28:19.20,1.09,126.53,34.4,6.2,213,39,89,34,51,91,2.42E+025,25,,,,,,
1987-03-18,00:22:55.60,1.96,126.55,29.5,6,20,34,78,215,57,98,1.49E+025,25,,,,,,
1987-05-17,13:43:42.30,0.81,122.26,77.7,5.3,3,68,19,266,72,157,1.26E+024,24,,,,,,
1987-05-31,18:32:21.40,0.69,121.74,91.7,5.3,352,48,19,249,76,136,9.63E+023,23,,,,,,
1987-07-07,10:36:05.80,4.3,125.23,27.7,5.7,203,48,119,344,49,62,4.04E+024,24,,,,,,
1987-07-09,04:31:24.40,3.79,126.86,52,5.3,127,21,30,9,80,108,1.22E+024,24,,,,,,
