no,ID BMKG,Date (hari-bulan-tahun),Time BMKG,Latitude,Longitude,Depth,Mw,az,cPhase,Segmen- grid,strike 1,dip 1,rake 1,strike 2,dip 2,rake 2,P azimuth,P plunge,T azimuth,T plunge,Quality,,
57,bmg2014jpxx,2014-05-17,18:56:19,-2.24,120.89,6.02,4.22,112,20,PewusaiMatano-003,103,46,-6,198,85,-136,70,33,322,26,B,,
58,bmg2014koao,2014-05-30,23:32:16,-2.15,120.72,8.78,4.12,119,20,PewusaiMatano-003,17,72,169,111,79,18,243,5,335,20,B,,
59,bmg2014lalv,2014-06-06,18:52:43,-2.24,120.92,11.00,4.22,107,22,PewusaiMatano-003,230,72,-156,133,68,-20,92,29,1,3,C,,
60,bmg2015abhy,2015-01-01,17:11:07,-2.13,120.77,22.14,4.22,106,22,PewusaiMatano-003,134,60,-6,227,85,-150,94,25,356,17,A,,
61,bmg2013usod,2013-10-22,18:17:52,-0.17,119.76,9.79,3.90,170,17,offshore-006,28,67,49,274,46,147,146,13,252,50,A,,
62,bmg2016xioi,2016-11-27,23:40:27,-0.19,119.74,11.19,3.83,175,11,offshore-006,228,47,79,64,44,102,326,2,67,82,B,,
63,bmg2016yvtq,2016-12-19,10:38:37,-0.19,119.89,6.29,3.83,93,18,offshore-006,88,87,170,179,83,3,134,3,43,6,A,,
64,bmg2017jdfq,2017-05-10,20:04:22,-0.17,119.81,10.11,3.83,117,13,offshore-006,242,52,-111,93,43,-66,92,73,346,5,B,,
65,bmg2018szvo,2018-09-28,07:00:01,-0.34,119.75,9.47,6.10,28,57,offshore-007,272,85,165,3,75,5,319,7,227,14,B,,
66,bmg2016ghll,2016-03-30,10:56:40,-0.29,119.89,21.43,3.90,143,15,offshore-008,266,39,-178,175,89,-51,117,34,233,32,D,,
67,bmg2017xwqq,2017-12-06,16:42:48,-0.52,119.86,9.21,3.98,88,17,offshore-012,75,35,85,261,55,94,349,10,187,80,C,,
68,bmg2016tupk,2016-10-08,15:40:58,-1.65,120.15,8.22,3.83,144,15,PalukoroMoa-001,45,46,65,258,49,113,332,2,236,73,D,,
69,bmg2016dlrp,2016-02-19,01:59:33,-0.70,119.75,15.82,4.12,75,24,PalukoroPalu-002,51,88,-115,316,26,-5,297,42,164,38,C,,
70,bmg2010koha,2010-05-31,05:07:29,-1.22,119.94,12.32,3.98,128,20,PalukoroPalu-002,311,37,-55,90,61,-113,317,66,197,13,D,,
71,bmg2010jndy,2010-05-16,08:40:21,-1.23,120.01,13.65,3.90,91,16,PalukoroPalu-002,147,83,24,54,66,173,279,12,13,21,B,,
72,bmg2010jpoo,2010-05-17,16:19:06,-1.23,119.97,12.41,3.90,66,19,PalukoroPalu-002,228,46,138,350,61,52,106,8,209,56,B,,
73,bmg2010ankq,2010-01-08,08:15:26,-0.62,119.94,14.01,5.13,86,18,PalukoroPalu-003,179,58,-3,270,88,-148,139,24,40,20,C,,
74,bmg2016noth,2016-07-12,01:37:15,-0.98,119.96,6.48,3.83,143,17,PalukoroPalu-003,292,36,78,126,55,98,211,9,67,78,D,,
75,bmg2010tspv,2010-10-08,17:57:47,-1.28,119.96,8.91,3.98,97,18,PalukoroSaluki-002,133,34,-92,315,56,-89,230,79,44,11,D,,
76,bmg2011ojdk,2011-07-24,05:26:29,-1.44,119.93,9.07,3.98,137,12,PalukoroSaluki-002,171,62,44,56,52,144,291,6,29,50,C,,
77,bmg2010okum,2010-07-25,06:22:43,-1.29,120.03,9.96,3.98,113,18,PalukoroSaluki-002,55,82,58,313,33,166,171,30,294,43,D,,
78,bmg2015yaku,2015-12-08,18:18:51,-1.53,120.09,6.73,3.90,82,22,PalukoroSaluki-002,259,80,-167,167,77,-10,123,16,33,2,C,,
79,bmg2015ydbx,2015-12-10,05:13:47,-1.56,120.10,8.28,3.83,83,18,PalukoroSaluki-002,55,33,-59,200,62,-108,75,67,303,16,D,,
80,bmg2016drmi,2016-02-22,06:08:35,-1.55,120.08,5.73,3.90,108,17,PalukoroSaluki-002,175,46,45,50,60,126,115,8,12,58,C,,
81,bmg2010jjff,2010-05-14,04:44:20,-1.26,120.03,6.97,3.83,113,17,PalukoroSaluki-003,61,45,-176,328,87,-45,274,33,24,28,B,,
82,bmg2010vhyp,2010-10-31,09:21:33,-1.33,120.07,8.53,3.98,125,15,PalukoroSaluki-003,109,74,117,222,31,33,173,24,46,53,C,,
83,bmg2017zhgr,2017-12-26,17:43:02,-2.38,120.85,10.79,4.22,80,15,PewusaiMatano-002,212,55,128,339,50,49,277,3,182,60,B,,
84,bmg2010wlqt,2010-11-16,15:41:09,-2.30,120.86,16.93,3.90,59,24,PewusaiMatano-002,45,83,-175,314,85,-7,269,9,360,2,B,,
85,bmg2012kctj,2012-05-23,19:24:53,-2.33,120.84,10.25,3.83,159,11,PewusaiMatano-002,212,76,-171,120,81,-14,75,16,166,4,B,,
86,bmg2014koul,2014-05-31,09:35:03,-2.27,120.77,11.29,3.98,132,10,PewusaiMatano-002,24,76,173,116,83,14,249,5,341,15,C,,
87,bmg2014kpvn,2014-05-31,23:15:36,-2.27,120.90,7.73,3.90,135,11,PewusaiMatano-002,119,49,21,15,74,137,72,15,329,41,C,,
88,bmg2015jqyw,2015-05-18,08:34:01,-2.42,121.08,9.46,3.90,113,14,PewusaiMatano-002,335,72,-30,75,61,-160,292,33,27,7,D,,
89,bmg2015abkt,2015-01-01,18:34:31,-2.25,120.91,6.98,4.63,44,46,PewusaiMatano-003,222,85,166,313,76,5,268,6,177,13,A,,
90,bmg2015absf,2015-01-01,22:20:05,-2.25,120.91,21.53,4.93,33,55,PewusaiMatano-003,304,54,-19,46,74,-142,271,37,171,13,A,,
91,bmg2015cdvt,2015-01-31,13:28:09,-2.23,120.96,9.74,4.33,104,15,PewusaiMatano-003,31,90,165,121,75,0,77,10,345,11,B,,
