#Longitude Latitude Depth_(km) mrr mtt mff mrt mrf mtf Exponent_(dyn-cm) X_position(GMT) Y_position(GMT) ID rupture_type
119.3 1.0 33.0 0.270309 -0.653213 0.382904 -0.302361 -0.46619 1.16761 23.0 X Y 83 SS-R
124.734 -2.006 35.2 0.078954 1.23539 -1.31434 -0.434762 -0.735964 0.975038 24.0 X Y 84 SS-R
127.039 -3.913 36.2 8.46597 -8.56196 0.0959956 3.95922 0.902495 0.374995 23.0 X Y 85 R
120.97 1.79 33.0 2.57286 -3.17415 0.601294 -4.45513 1.38074 -1.15757 23.0 X Y 86 R
120.453 0.332 28.5 -3.07866 0.823398 2.25526 0.41995 2.22748 1.54156 24.0 X Y 87 N
120.58 1.75 33.0 5.26337 -5.15459 -0.108776 -5.73337 1.53761 0.847141 23.0 X Y 88 R
119.2 0.8 31.0 0.158864 -1.6777 1.51883 -0.809525 -0.722229 0.480356 23.0 X Y 89 SS-R
117.58 -7.978 28.5 0.611088 -5.4477 4.83661 0.887437 -1.98543 0.414136 23.0 X Y 90 SS-R
124.4 -1.13 35.3 1.95569 3.48393 -5.43963 -2.64432 -0.429488 1.29223 23.0 X Y 91 SS-R
119.7 -3.9 33.0 1.16503 0.062374 -1.2274 0.275177 -0.274359 -0.00659854 25.0 X Y 92 R
124.61 -1.19 34.5 0.0602946 1.7242 -1.78449 -0.394919 -0.013848 1.33239 24.0 X Y 93 SS
124.02 -0.883 49.4 0.0651632 1.85778 -1.92294 -0.423028 -0.0162148 1.4137 24.0 X Y 94 SS
125.56 -2.24 31.5 0.312355 0.305863 -0.618219 0.403683 0.308517 0.84506 24.0 X Y 95 SS-R
120.99 1.8 38.3 -0.139415 -0.119659 0.259075 0.204465 -1.41846 3.70738 23.0 X Y 96 SS
124.06 -6.1 46.0 4.54874 -1.6903 -2.85844 -2.05875 -2.58675 -2.19855 23.0 X Y 97 R
125.4 -2.9 8.0 2.58627 0.0425093 -2.62878 -2.20959 1.6549 1.19473 23.0 X Y 98 R
126.23 -2.761 30.0 5.52935 0.0908832 -5.62024 -4.72402 3.53811 2.5543 23.0 X Y 99 R
122.7 -0.6 34.0 1.00757 -0.71026 -0.297309 -0.809457 -0.621367 1.46141 23.0 X Y 100 R-SS
124.5 4.85 36.8 0.796586 0.155027 -0.951613 -0.42576 0.543329 0.0192845 24.0 X Y 101 R-SS
120.55 0.32 30.3 0.637568 0.0873873 -0.724955 -0.851045 -0.414752 -0.467708 25.0 X Y 102 R-SS
