latitude,longitude,depth,strike,dip,rake
4.22,126.85,43.3,196,37,-82
0.906,126.191,28.4,151,41,-54
0.5,126,43,218,48,-114
3.598,126.706,40.3,14,48,-116
3.46,126.807,21.6,18,26,-139
3.563,126.862,23.3,349,59,-82
0.08,125,40.1,202,28,-78
3.021,126.501,45.6,17,69,-92
3.04,126.201,32.8,206,74,-101
3.3,126.1,33,354,24,-43
3.077,126.236,30.5,221,65,-95
3.6,126.35,37.6,30,26,-80
1.9,126.5,33,200,36,-109
1.579,126.551,32.6,357,56,-77
-0.108,125.078,47.4,31,65,-79
-0.184,124.995,41.6,270,56,129
0.3,125.1,28,145,50,47
0.902,126.461,33,59,32,-111
0.379,126.312,40,24,49,-88
-0.2,125.3,31,235,18,-123
4.17,126.9,40.9,213,40,-106
3.976,126.352,40.9,213,40,-106
0.4,126.3,35,187,34,-41
0.54,126.53,29.8,187,34,-41
4.02,126.364,29.8,278,18,128
-0.02,125.31,37.3,208,19,-80
0.398,125.411,50,29,73,-82
2.5,126.5,33,23,35,-89
2.195,126.529,41.5,205,55,-91
2.4,126.2,33,294,62,-169
2.8,126.5,33,32,26,-122
2.42,126.56,47.9,81,18,-44
3.9,126.97,27.7,251,69,-166
1.67,126.13,34.8,244,21,-105
1.69,126.45,37.3,215,19,-100
-0.086,125.019,50,34,63,-78
3.94,126.3,15,307,37,-73
3.819,126.332,17.5,313,30,-74
0.902,125.848,35,148,84,-13
0.4,125.8,10,48,69,165
0.797,126.113,41.8,327,54,-16
2.51,126.51,33.6,59,25,-90
1.696,126.472,43.4,239,65,-90
1.331,126.174,35.3,201,37,-77
3,126.6,0,78,28,-168
0.4,125.9,0,183,65,-22
1.58,126.72,25.1,78,28,-168
1.184,126.153,30,126,87,-88
1.241,126.106,39.2,165,66,-47
1.221,126.081,21.7,190,37,-67
4.4,126.91,44,185,29,-67
2.94,126.68,47.2,31,27,-89
3.33,126.84,48.4,177,28,-74
4.09,126.61,24.6,149,19,-28
4.09,126.49,17.2,298,23,-45
2.44,126.52,36.1,259,34,-82
2.73,126.49,31.3,22,39,1
2.97,126.96,41.8,76,51,-152
0.3,126.2,28,248,55,-135
0.31,125.46,41.3,231,29,-141
0.632,125.997,40,189,53,-85
0.3,126,35,87,8,169
0.551,126.165,25,18,77,93
-0.28,126.76,12,23,30,-104
1.52,126.38,37.2,23,30,-104
1.359,126.212,37.2,23,30,-104
0.955,126.248,23.4,21,42,-90
0.02,126.53,33,295,22,-3
1.16,126.33,33,193,28,-68
1.454,126.38,32.7,193,28,-68
1.85,126.22,33,4,28,-31
0.83,125.76,33,165,20,-66
2.835,126.52,38.1,10,71,-98
0.63,126.48,33,197,42,-78
1.574,126.218,35,65,59,-127
1.645,126.444,30,50,55,-131
1.325,126.308,38.5,211,42,-98
1.45,126.37,28.2,225,29,-90
1.436,126.272,15,68,30,-171
0.47,125.17,33,269,28,-139
2.56,126.24,33,197,34,-67
1.508,126.328,35,44,60,-105
2.78,126.942,35,28,63,-91
2.7,126.92,42.2,349,80,11
0.61,125.73,30,43,60,-157
1.058,126.461,25.6,174,49,-56
1.086,126.551,10,175,24,-51
1.14,126.44,21,4,45,-77
1.079,126.358,30,202,46,-103
1.34,126.56,31.7,4,45,-77
1.212,126.056,42.7,346,46,-41
0.878,125.848,15,313,11,177
-0.4,125.1,33,278,29,-113
0.872,125.884,25,177,72,-59
4.121,126.56,24.9,357,37,-37
1.837,126.476,20,202,59,-75
3.561,126.549,31.2,177,27,-59
1.33,126.32,32.7,35,36,-121
3.03,126.67,33,222,30,21
3.036,126.361,40,168,84,72
1.1,125.33,33,228,23,-108
3.598,126.674,17.6,175,20,-79
3.372,126.847,37.4,14,34,-109
3.427,126.835,19.8,180,21,-102
3.41,126.782,15,175,8,-90
3.454,126.911,28.1,184,11,-66
3.98,126.89,28.1,184,11,-66
0.86,125.8,33,170,34,-24
0.28,125.92,31.8,170,34,-24
0.898,125.985,31.8,170,34,-24
2.47,126.57,27.3,196,36,-44
4.09,126.472,28,20,43,-90
4.1,126.519,27.7,16,31,-83
3.44,126.76,33,353,48,-50
4.137,126.534,37.3,353,48,-50
4.18,126.54,48.8,9,39,-90
0.958,126.052,41.4,330,39,-43
1.026,126.236,27.2,265,36,178
-0.012,123.963,24.6,199,50,5
1.347,126.13,47.9,170,25,-55
1.739,126.35,37.5,221,38,-91
2.69,126.94,38,193,30,-58
1.473,126.372,30,215,75,95
1.01,126.46,34.4,51,39,-123
0.875,126.363,25,191,58,-66
0.41,126.38,44,51,39,-123
3.07,126.91,42.3,183,21,-77
-0.04,125.67,45,246,27,-117
-0.17,124.15,39,176,36,-89
0.893,126.249,43.1,44,43,-113
0.8,126.3,21,44,43,-113
1.36,126.83,15,127,15,-45
-0.17,124.63,31,96,54,-20
0.41,126.54,37,63,39,-165
-0.44,125.29,26,14,32,-99
0.28,126.41,42,14,32,-99
2.57,126.72,42.4,61,26,-134
0.57,125.99,50,2,43,-70
2.064,126.963,30,298,84,-85
2.003,126.852,37.6,111,87,85
1.586,126.417,31,1,54,-80
1.21,126.09,20,28,36,-107
4,126.35,25.3,132,86,3
2.128,126.648,35.3,211,54,-88
-0.116,124.852,25,19,73,-68
3.66,126.83,49.6,97,52,-5
2,126.8,33,354,43,-44
0.56,125.94,35.4,8,35,-78
0.59,126.14,30.4,227,58,2
1.41,126.21,23.6,273,35,109
-0.19,126.63,20.8,105,41,53
3.569,126.721,27,141,18,-37
-0.34,125.09,41,248,36,-125
-0.33,125.1,30.2,256,39,-138
2.39,126.66,16,204,22,158
1.8,125.7,33,147,72,-172
1.281,125.841,35,141,86,-93
3.678,126.718,14.9,169,37,-53
-0.2,123.9,14.9,150,49,-46
-0.6,125.4,33,351,32,-73
0.928,125.883,31.8,351,32,-73
2.637,126.429,25.8,354,54,-119
1.131,126.203,15,358,9,-48
0.48,126.14,32.7,342,72,-14
2.932,126.528,35,4,62,-83
2.98,126.71,45.3,202,32,-107
1.046,126.145,31.3,254,50,-128
2.151,126.561,30,204,52,-88
2.48,126.72,38.2,54,44,-134
2.97,126.56,26.1,51,40,-148
2.9,126.52,25.4,326,58,3
2.742,126.585,45,167,74,-58
2.64,126.45,31.4,180,45,-106
-0.164,125.131,35,16,81,-68
2.73,126.68,29.4,201,35,-113
-0.41,125.1,30.7,147,32,-112
2.94,126.43,31.8,339,36,-90
2.82,126.69,31.4,44,44,-140
2.65,126.85,36.2,16,73,-180
1.74,126.23,37.4,342,58,-16
0.799,126.184,50,197,54,-91
2.19,126.67,30.7,255,38,125
-0.8,124.6,33,259,31,-140
-0.196,124.732,30,24,71,-65
1.67,125.56,10,54,34,-135
3.8,126.65,35,123,48,-45
3.822,126.405,40,283,68,42
3.78,126.41,45,171,8,-73
-0.224,124.796,35,22,72,-56
-0.24,125.92,31.4,267,38,-149
1.536,126.374,25,179,63,-49
-0.17,124.96,21,246,30,-119
1.697,126.219,35.6,32,36,-103
-0.31,125.09,35,255,26,-86
-0.364,125.178,36,81,63,-110
-0.35,125.12,36,223,33,-56
-0.27,125.06,36,213,26,-54
-0.18,124.83,35,238,34,-82
4.25,126.74,28,9,43,-83
4.29,126.84,28.5,217,42,-109
4.18,126.527,28.5,11,42,-87
3.92,126.44,12,170,25,-69
2.34,126.79,35,9,36,-96
2.32,126.78,36,6,42,-101
2.62,126.67,35,67,49,60
0.978,126.279,14,153,40,98
1.071,126.023,30.9,158,57,-33
1.21,126.33,33.6,23,33,-88
1.009,126.304,33.6,23,33,-88
1.055,126.364,20,203,49,-81
0.948,126.287,24.2,39,45,-101
1.138,126.45,28,49,42,-124
0.45,126.41,28.3,216,43,-106
0.911,126.211,37.8,159,44,-73
1.226,126.121,28.7,212,42,-112
1.113,126.169,28.1,140,36,-72
1.005,126.001,15,181,77,-88
1.301,126.502,31.8,200,31,-86
1.27,126.9,23.6,208,30,-102
1.25,126.592,23.6,208,30,-102
1.233,126.186,20,188,56,-82
1.175,126.637,21.3,211,29,-113
1.064,126.364,20,47,55,-108
1.384,126.143,25,358,12,-70
1.64,125.95,15,358,12,-70
0.92,126.18,18,339,38,63
1.181,126.328,39.5,20,43,-83
1.3,126.34,39.5,20,43,-83
0.82,126.14,18.6,299,25,86
3.28,126.87,37.8,184,25,-79
-0.014,126.802,40,177,85,-92
4.25,126.9,28.1,20,41,-101
1.185,126.275,33.8,348,35,-53
4.32,127,44,170,46,-52
4.168,126.984,18.9,22,49,-121
1.209,126.328,35,12,47,-80
0.852,125.94,30.4,75,74,173
0.68,126.25,40,213,46,-116
1.204,126.361,31.3,213,46,-116
-0.47,124.57,50,237,40,-107
1.561,126.407,35,99,88,90
0.92,126.04,30,17,42,-82
1.165,126.448,50,165,88,-33
1.147,126.421,37.6,19,42,-87
2.444,127.029,15,10,81,-84
1.35,126.14,30,69,29,-124
3.827,126.366,26,319,73,-31
0.41,125.54,22.7,333,20,-71
0.79,125.91,23.8,13,82,-4
1.49,126.18,28.9,13,82,-4
2.07,126.7,36.1,210,41,-90
1.589,126.463,30.9,40,26,-113
3.12,126.7,35.6,207,44,-37
-0.27,125.35,42,244,33,-119
-0.3,124.5,45.7,241,34,-116
-0.223,125.125,38,36,65,-75
1.632,126.485,37.3,341,61,-26
1.94,126.65,29.1,22,38,-129
1.005,126.304,41.6,40,41,-89
0.848,126.173,15,165,67,-27
3.876,126.731,28.7,206,39,-96
4.18,126.651,22.3,243,46,-135
4.23,126.69,24.5,353,53,-44
1.26,126.8,29,275,58,35
0.15,124.55,10,258,50,-139
3.647,126.669,25,21,66,-123
3.954,126.75,25,188,46,-104
4.031,126.702,33.9,19,52,-132
3.993,126.647,37.8,140,40,-51
4.046,126.686,27.6,155,40,-71
4.038,126.602,43.8,161,36,-59
4.061,126.854,25,2,50,-93
3.714,126.937,25,14,62,-103
3.952,126.559,25,22,75,-111
3.956,126.79,25,346,52,-77
3.955,126.632,26,22,77,-115
4.025,126.615,27,13,63,-116
4.1,126.77,30.9,35,47,-130
4.7,126.86,25.7,180,44,-103
4.123,126.765,26.7,14,43,-95
4.087,126.837,25.7,180,44,-103
3.722,126.656,21.6,148,33,-30
3.6,126.906,37.1,175,25,-58
3.813,126.461,24.1,270,11,-166
3.776,126.732,40,62,82,-151
4.129,126.811,28,213,37,-110
4.1,126.77,26.3,163,38,-53
3.844,126.648,22.6,225,57,-146
3.726,126.703,30.6,171,45,-55
3.918,126.758,25.4,342,64,-12
3.679,126.612,32,336,52,-59
3.704,126.658,22.7,164,47,-47
3.71,126.62,27,346,48,-60
3.78,126.68,28,175,28,-86
4.08,126.78,21.6,338,45,-73
3.92,126.63,35,194,13,-122
3.921,126.653,24.1,123,9,-52
3.695,126.712,26.6,207,45,-112
1.73,126.45,36.1,262,70,-163
3.655,126.742,25,158,71,-71
3.724,126.694,25,33,69,-129
3.664,126.654,23,164,46,-36
3.906,126.777,25.6,335,56,-37
4.181,126.769,26.1,183,37,-109
4.124,126.753,35,12,51,-98
4.48,126.94,26.1,263,7,-180
4.36,126.95,11,263,7,-180
4.085,126.802,29.1,25,44,-113
3.87,126.75,34,25,44,-113
4.488,127.009,45,7,88,-87
-0.26,125.11,15,249,35,-116
0.958,126.158,37.5,86,51,-25
1.12,126.1,23,16,28,-98
3.957,126.765,20,130,28,-23
2.94,126.99,45.3,80,28,-117
2.67,125.96,30,188,39,-83
1.36,126.31,30,214,39,-116
4.129,126.521,28.2,204,36,-109
0.47,126.13,10,9,40,-56
0.46,126.18,19,24,38,-70
1.244,126.383,32.9,12,37,-78
3.96,126.84,10,352,40,-79
3.07,126.7,48.6,192,28,-92
2.17,126.69,10,27,35,-108
1.009,126.259,39.8,58,53,-152
-0.29,125.17,37.4,244,32,-58
-0.4,125.17,44.3,267,28,-90
-0.25,125.17,10,244,32,-58
-0.17,125.14,15,267,28,-90
-0.128,125.011,30,86,80,-101
3.82,126.61,23.6,127,35,-9
3.9,126.71,33.9,127,56,-5
4.19,126.72,31.2,176,27,-54
-0.31,124.69,30,227,29,-87
3.77,126.66,35.9,229,24,-128
1.26,126.38,10,198,43,-81
-0.2,125.29,10,236,29,-108
2.49,126.35,10,79,35,-133
0.55,126.18,10,196,44,-72
1.51,126.44,31.2,190,44,-72
1.482,126.42,31.2,190,44,-72
-0.089,124.93,50,33,61,-77
3.674,126.715,15,144,17,-24
2.032,126.862,25,226,69,-129
3.056,126.999,25,12,73,-77
0.01,124.59,10,240,39,-110
1,125.41,10,80,67,-20
1.55,126.407,18.2,52,28,39
2.37,126.51,10,20,80,-173
3.04,126.6,46.1,191,41,-73
-0.14,125.35,45,227,36,-90
1.42,126.35,10,188,42,-97
2.2,126.96,47.6,78,67,8
2.83,126.81,47.4,57,32,97
1.64,126.52,30,20,43,-81
1.182,126.426,29.1,7,37,-72
0.356,125.377,45,29,63,-75
1.63,126.49,10,19,42,-95
2.22,126.18,10,80,60,164
1.36,126.34,35,346,76,-11
-0.23,125.56,10,90,60,-28
2.71,126.48,34.7,42,31,-104
1.72,126.68,10,342,63,-22
3.565,126.749,18.6,189,27,-83
2.6,126.79,34.2,26,39,-91
3.98,126.23,45.8,234,52,162
4.6,126.6,19.2,157,38,58
1.35,125.96,13,60,48,-163
-0.17,125.33,16,242,29,-113
-0.17,125.33,10,248,33,-117
0.83,125.96,31.4,352,43,-85
0.547,126.204,25,175,64,-55
0.533,126.229,26,216,35,-81
4.156,126.6,25.8,229,42,-140
4.139,126.633,27,188,49,-57
1.58,126.63,10,358,44,-58
-0.21,125.77,39.7,276,51,-161
1.506,126.337,30.4,164,53,-39
3.6,126.813,25.4,346,40,-94
-0.158,124.993,34.8,33,64,-68
1.327,126.217,33.7,24,43,-105
2.01,126.42,35.3,1,32,-69
3.85,126.701,25,206,7,-115
3.545,127.046,16.7,176,30,-78
1.362,126.28,30,225,41,-112
1.333,126.219,28.6,16,49,-67
1.376,126.427,28.8,193,43,-90
0.65,126.11,33.7,5,39,-75
0.35,126.14,24.4,20,37,-24
0.21,126.43,27.8,242,36,-128
1.7,126.26,25.8,21,33,-73
1.58,126.42,25.9,350,56,-20
-0.3,125.18,32,264,37,-141
-0.31,125.08,33.8,252,45,-121
-0.42,125.16,31.3,250,33,-122
-0.21,125.097,30,28,66,-66
-0.202,125.053,29.2,32,65,-72
1.497,126.426,31,58,55,-142
1.446,126.44,36.5,21,41,-86
1.799,126.533,33.9,236,57,-104
1.749,126.423,34.2,150,59,-61
1.71,126.29,33,300,43,-160
2.1,126.62,30.8,188,43,-84
1.868,126.391,30.8,72,61,-102
2.3,127.024,30.1,321,54,-67
2.2,126.6,32.3,30,37,-105
1.966,126.458,35.2,205,57,-82
2.02,126.55,32.3,267,35,-154
2.431,126.991,27.4,180,54,-95
1.87,126.19,33.9,216,49,-46
2.14,126.47,35.1,32,34,-93
2.04,126.2,31,45,39,-82
1.535,126.269,35,181,58,-57
2.48,126.42,31.6,40,26,-107
2.116,126.549,34.5,195,57,-96
2.116,126.522,33.4,204,56,-91
1.14,126.349,30,128,39,174
1.659,126.385,32.4,19,43,-61
-0.31,125.1,37.5,237,35,-116
1.72,126.42,34.6,34,42,-91
0.532,126.082,33.1,16,42,-74
1.722,126.335,46.1,9,56,-38
2,126.5,44.7,214,34,-85
2.2,126.61,35.8,13,35,-78
1.679,126.487,42,201,41,-94
0.23,126.36,33.6,2,68,-19
2.091,126.646,50,29,36,-94
-0.14,124.28,49.1,248,43,-136
1.9,126.41,33.3,48,44,-92
-0.28,124.46,41.5,228,35,-109
0.55,126.37,28.7,14,34,-94
1.91,126.37,31.3,73,80,-178
1.859,126.508,49.8,37,40,-102
1.79,126.59,45.9,181,49,-54
1.51,126.491,34.8,184,47,-55
1.436,126.301,46,219,45,-119
3.861,126.867,13.6,194,30,-92
3.822,126.831,25.2,15,64,-102
0.871,126.103,40.8,35,49,-121
1.53,126.423,21.4,34,27,71
1.131,126.291,19.9,204,40,-78
4.182,126.394,31.7,176,26,-86
4.208,126.691,24.8,193,30,-84
4.23,126.57,30.4,81,49,-155
0.366,126.28,28.1,226,51,-100
0.57,126.54,33.1,47,49,-123
1.312,126.318,41.5,217,50,-109
0.994,126.15,34.2,222,39,-178
1.6,126.57,38,34,40,-98
0.04,125.38,32.2,27,41,-129
-0.35,124.55,42.1,234,35,-117
1.703,126.392,47.5,98,20,-31
-0.081,124.969,46.8,33,63,-71
1.214,126.369,26.8,147,76,-58
4.12,126.84,26.2,326,51,-55
-0.3,125.24,39,250,33,-123
-0.33,125.2,35.1,247,32,-116
2.47,126.78,41.8,46,32,-109
3.983,126.573,44.7,173,24,-79
4.024,126.803,38.9,128,73,21
4.29,126.75,29.3,13,48,-62
0.4,126.1,30.6,14,50,-47
1.75,126.19,30.2,31,33,-98
1.391,126.812,40,153,79,2
2.34,126.72,42.1,32,35,-92
1.91,126.59,36.3,39,44,-102
4.59,126.82,37.6,254,63,-161
0.69,125.99,34.2,40,78,-180
3.69,126.66,19.3,175,23,-88
0.48,126.34,22.2,15,42,-80
3.37,126.92,38.2,183,32,-70
0.2,126.01,29.6,346,41,-42
4.26,126.55,28.3,171,41,-87
4.144,126.558,28.6,198,33,-116
2.93,126.84,28.1,45,37,-117
0.461,125.974,30,44,18,-134
2.383,126.825,35,5,30,-83
1.113,126.442,38.6,26,26,-92
1.634,126.263,30,10,49,-57
2.48,126.63,34.9,18,34,-79
2.46,126.74,42.9,73,53,-141
2.54,126.9,35.6,219,43,-103
4.49,126.85,20.1,191,41,30
1.53,126.39,40.5,11,45,-75
0.34,126.2,27,16,46,-68
0.81,126.16,31.7,349,50,-34
2.26,126.67,34.6,202,43,-105
1.25,126.54,25.5,337,62,8
1.77,126.36,41.9,19,40,-96
4.14,126.72,29.7,182,28,-92
0.55,126.1,30.5,342,51,-35
0.81,126.36,28.4,171,43,-103
0.82,126.21,30.8,347,41,-73
0.68,126.24,26.5,358,39,-94
0.52,126.23,26.9,344,79,-11
0.35,126.38,19.6,186,31,-74
0.38,126.49,27.7,219,38,-137
0.15,126.37,21.1,209,29,-53
0.16,126.32,21.9,195,44,-54
2.32,126.17,48.3,8,38,-129
0.37,126.21,26.4,60,34,-95
2.41,126.64,45.1,24,31,-95
-0.21,126.01,27.8,83,47,-124
4.08,126.79,29.3,183,33,-104
-0.11,124.65,25,195,13,-14
1.46,126.36,31.5,213,43,-102
1.78,126.44,30.3,197,43,-91
1.78,126.26,29.2,2,51,-55
1.73,126.23,30.1,18,45,-73
1.71,126.42,29.9,206,43,-86
1.71,126.37,26.1,211,35,-108
1.74,126.29,27.5,219,44,-113
1.72,126.21,33.4,37,37,-93
1.8,126.26,33,206,44,-100
1.64,126.15,36,33,42,-114
1.72,126.1,26.2,5,27,-62
1.65,126.26,34.2,68,65,-163
1.66,126.45,29.8,157,89,0
1.84,126.24,30.2,24,34,-100
1.72,126.08,32.4,346,46,-63
1.81,126.41,32.7,350,42,-79
1.69,126.25,28.8,353,53,-36
1.8,126.16,27.3,8,34,-78
1.56,126.34,28.6,53,39,-115
1.89,126.22,30.7,354,31,-66
-0.37,125.17,35.6,220,32,-92
4.03,126.73,26.6,225,35,168
0.79,126.36,27.5,59,49,-153
1.67,126.37,27.5,148,48,-28
-0.42,125.37,36.5,255,33,-123
-0.38,125.22,32.5,241,32,-107
1.53,126.33,41.3,23,36,-82
0.33,126.87,26.3,156,69,10
1.2,126.68,46.7,248,80,-179
3.98,126.15,28.4,182,75,-168
4.05,126.66,41,194,30,-83
1.35,126.27,30.8,176,39,-75
1.43,126.33,21.7,159,44,97
2.43,126.62,39.1,14,37,-95
1.37,126.36,40.3,192,46,-110
1.97,126.43,37.2,51,26,-86
4.15,126.56,24.4,349,41,-23
4.22,126.66,21.4,229,50,-135
4.22,126.91,25.8,182,38,-68
4.25,126.87,24.2,188,41,-76
2.63,126.76,34.3,56,34,-129
0.5,125.48,32,337,27,-66
-0.36,124.45,39.8,240,35,-116
1.75,126.18,24.5,158,34,-51
1.73,126.75,26.5,358,51,-47
-0.35,124.39,37.4,247,33,-107
-0.26,124.55,40.6,230,29,-87
4.14,126.65,38.2,167,33,-53
-0.26,124.42,41.2,236,34,-113
4.97,126.49,44.4,141,46,172
1.09,126.96,25.5,142,82,-6
0.69,126.12,30.7,354,50,-51
-0.35,125.35,41.4,239,33,-108
3.81,126.75,26.3,127,44,-2
0.82,126.31,30.5,13,46,-70
0.28,126.29,20.4,266,51,-132
0.43,126.39,31.2,224,44,-113
0.28,126.35,27.4,229,40,-99
0.32,126.15,24.1,40,35,-101
0.16,126.25,18.4,85,50,-138
3.1,126.66,46.8,188,26,-94
0.41,126.25,25.1,11,53,-2
2.89,126.75,36.8,198,21,-116
2.94,126.81,43.8,193,30,-94
3.01,126.71,41.7,190,25,-94
2.87,126.73,47.6,209,31,-99
1.88,126.62,38,195,41,-67
2.19,126.52,35.8,19,39,-81
0.49,126.37,23.1,213,46,-106
0.93,126.06,32.1,19,39,-89
0.92,126.16,31,201,39,-109
1.32,126.13,41.1,23,37,-91
0.91,126.08,31.5,332,47,-47
2.52,126.78,29.5,36,41,-124
2.53,126.8,31.2,22,39,-97
2.28,126.68,33.5,22,41,-74
-0.27,125.16,36.3,247,32,-119
3.75,126.71,27.8,207,48,-121
0.85,126.07,30.6,332,39,-42
0.43,126.1,16,182,10,81
3.66,126.94,43.4,293,33,133
2.13,126.9,24.3,345,49,-32
3.71,126.73,30.8,204,36,-96
-0.35,124.55,37.8,233,29,-104
3.85,126.67,20,129,43,-12
1.74,126.33,33.4,228,45,-114
3.7,126.66,35.5,67,41,36
1.1,125.9,32.8,3,33,-99
0.92,126.93,25.3,143,86,1
0.34,126.34,23.1,214,39,-88
1.9,126.33,30.4,251,44,-107
-0.35,125.26,35.9,257,49,-148
2.21,126.45,34.9,17,35,-92
