date,time,lat,lon,depth,mw,str1,dip1,rake1,str2,dip2,rake2,mo,fac,mpp,mpr,mrr,mrt,mtp,mtt
1988/03/08,15:38:27.610,-2.033,125.3,30,5.92,69,83,-14,161,76,-173,9.37,17,"6.64","-0.13","-1.8","-2.06","7.04",-4.84
1988/09/26,13:31:09.200,-0.292,125.102,49.5,5.56,10,61,39,259,57,144,2.69,17,"-0.66","1.39","1.3","-1.24","-1.69",-0.64
1988/10/28,10:37:54.790,-0.297,122.141,20,5.52,176,87,9,85,81,177,2.37,17,"-0.3","-0.37","-0.07","0.19","-2.31",0.38
1989/03/08,02:34:27.720,-0.053,124.924,35,5.85,11,74,77,232,21,129,7.32,17,"-2.73","6.06","4.12","0.48","-1.96",-1.39
1989/04/16,06:50:26.610,1.076,120.139,29,5.52,260,69,114,28,31,43,2.37,17,"-0.36","0.07","1.44","-1.66","-1.08",-1.08
1989/05/24,08:05:48.840,-3.759,123.266,19.9,5.82,330,73,69,204,27,140,6.57,17,"-4.52","4.08","3.39","-3.11","0.3",1.14
1989/07/08,10:33:08.850,1.093,121.52,35,5.74,194,50,-98,25,41,-81,5.01,17,"4.41","0.89","-4.88","-0.23","1.59",0.46
1989/07/14,20:42:48.400,-7.86,125.41,36.4,6.6,67,33,103,232,58,82,1.08e+26,25,,,,,,
1989/07/31,17:07:38.900,-7.94,121.18,30.4,6.6,83,45,139,205,62,53,1.07e+26,25,,,,,,
1990/02/03,04:43:38.680,-2.946,126.311,25,5.12,61,62,29,316,64,148,6.13,16,"3.46","3.09","2.38","0.26","1.46",-5.84
1990/02/03,04:43:39.700,-2.36,126.03,34.6,5.1,61,62,29,316,64,148,6.13e+23,23,,,,,,
1990/02/03,22:27:31.150,-2.134,125.162,22.1,5.12,71,62,-21,171,72,-150,5.93,16,"2.88","2.32","-1.38","-2.52","4.21",-1.5
1990/03/01,16:06:00.300,-7.909,121.154,25,5.59,87,83,171,178,81,7,2.98,17,"-0.6","-0.2","0.69","0.35","-2.93",-0.08
1990/04/04,09:07:27.600,-0.47,122.68,33,5.1,229,41,-156,121,74,-51,5.57e+23,23,,,,,,
1990/04/18,13:39:23.170,1.239,122.853,36.6,7.62,257,64,73,112,31,122,3.31,20,"-0.25","-1.1","2.73","-1.76","0.32",-2.48
1990/04/18,18:33:02.960,1.291,122.975,25,6.48,268,67,86,98,24,99,6.54,18,"-1.27","-0.45","5.4","-4.46","0.27",-4.13
1990/04/19,01:05:10.340,1.391,123.118,30,5.95,278,62,109,62,33,58,10.22,17,"0.32","2.48","8.09","-5.24","-1.67",-8.42
1990/04/19,08:28:39.700,1.9,123.59,31.8,5.3,60,38,41,296,66,121,1.24e+24,24,,,,,,
1990/04/19,12:40:41.350,1.182,123.473,30,6.3,346,81,-43,85,48,-168,3.43,18,"-0.48","-2.29","-0.69","0.04","-2.34",1.18
1990/04/19,12:40:43.400,1.34,122.92,40.5,6.3,85,48,-168,346,81,-43,3.43e+25,25,,,,,,
1990/04/21,05:14:06.020,1.226,123.357,35.3,5.47,278,64,110,59,32,56,1.99,17,"0.71","0.15","1.24","-1.08","-0.4",-1.96
1990/04/21,05:14:09.500,1.92,123.77,38.1,5.5,59,32,56,278,64,110,1.99e+24,24,,,,,,
1990/04/22,23:51:54.130,0.964,120.09,29.6,5.23,16,21,21,266,83,110,8.88,16,"0.77","-0.83","1.69","-8","-3.31",-2.46
1990/04/26,15:40:37.860,1.241,122.932,30.7,5.93,298,63,92,113,27,86,9.58,17,"-2.04","2.73","8.27","-4.79","2.51",-6.23
1990/04/27,09:42:34.500,2.12,123.97,33,5.3,58,17,57,272,76,99,1.31e+24,24,,,,,,
1990/05/09,19:46:42.800,-2.84,119.57,15,5.2,264,55,-15,3,78,-144,8.21e+23,23,,,,,,
1990/05/11,19:42:24.800,1.54,123.36,41.3,5.3,47,18,70,248,73,96,1.15e+24,23,,,,,,
1990/05/15,18:31:41.680,1.197,123.89,30,5.97,227,63,81,65,29,106,11.02,17,"-3.07","-5","9.38","-3.94","-3.62",-6.31
1990/05/15,18:31:42.400,1.19,123.29,15,6,65,29,106,227,63,81,1.1e+25,24,,,,,,
1990/05/26,02:57:35,1.33,123.36,33,5.7,119,12,109,279,79,86,4.79e+24,24,,,,,,
1990/06/02,04:57:58.130,1.164,122.849,30.5,5.44,57,29,66,264,64,102,1.82,17,"-0.47","0.19","1.6","-1.12","-0.37",-1.13
1990/06/09,21:38:21.960,1.336,123.501,28,5.52,224,76,82,73,16,118,2.36,17,"-0.27","-1.54","1.13","-1.38","-0.5",-0.85
1990/06/26,02:36:22.640,1.132,123.019,30.4,5.24,72,29,49,297,68,110,9.1,16,"-0.34","4.78","6.6","-4.67","-0.2",-6.26
1990/06/26,02:36:28.900,1.94,123.01,15,5.2,72,29,49,297,68,110,9.1e+23,23,,,,,,
1990/07/06,13:39:34.110,1.086,121.436,30.9,5.58,196,62,-105,45,31,-64,2.93,17,"1.71","1.69","-2.48","-0.01","0.99",0.76
1990/08/04,09:19:30.170,1.338,123.089,29.3,5.37,75,26,80,267,65,95,1.42,17,"-0.44","0.06","1.3","-0.91","-0.11",-0.86
1990/09/09,22:29:29.400,1.252,123.024,34.9,5.68,275,71,92,89,19,85,4.09,17,"-0.21","0.33","2.62","-3.22","0.07",-2.4
1990/11/30,13:19:29.840,1.038,124.014,30.9,5.79,322,48,67,175,47,113,6.01,17,"-4.92","-0.68","5.73","-1.81","1.95",-0.8
1990/11/30,14:17:04.690,1.089,124.043,30.7,5.28,352,40,107,150,52,76,10.55,16,"-9.39","-1.35","9.71","2.39","3.55",-0.32
1990/12/13,12:26:42.620,1.141,124.023,34.8,6.06,153,49,97,321,41,81,1.49,18,"-1.03","-0.25","1.43","0","0.73",-0.39
1990/12/17,01:21:07.100,1.66,123.42,33,5.1,74,26,61,286,67,104,5.31e+23,23,,,,,,
1990/12/17,01:43:45.400,1.37,123.14,18.1,5.5,94,21,84,281,69,92,2.04e+24,24,,,,,,
1990/12/23,01:11:24,1.3,123.88,24.9,5.3,296,36,75,134,55,101,1.26e+24,24,,,,,,
1991/05/13,03:41:16,1.42,123.62,33,5.3,122,9,106,286,81,88,9.5e+23,23,,,,,,
