longitude,latitude,depth,strike,dip,rake,magnitude
123.29,1.19,15.0,65.0,29.0,106.0,6.0
123.36,1.33,33.0,119.0,12.0,109.0,5.7
122.849,1.164,30.5,57.0,29.0,66.0,5.44
123.501,1.336,28.0,224.0,76.0,82.0,5.52
123.019,1.132,30.4,72.0,29.0,49.0,5.24
123.01,1.94,15.0,72.0,29.0,49.0,5.2
121.436,1.086,30.9,196.0,62.0,-105.0,5.58
125.53,0.91,45.6,213.0,20.0,102.0,5.1
126.92,0.93,15.0,157.0,68.0,-14.0,5.3
123.089,1.338,29.3,75.0,26.0,80.0,5.37
126.107,0.39,36.9,1.0,53.0,53.0,6.21
126.042,0.579,40.0,355.0,49.0,63.0,6.34
123.024,1.252,34.9,275.0,71.0,92.0,5.68
124.014,1.038,30.9,322.0,48.0,67.0,5.79
124.043,1.089,30.7,352.0,40.0,107.0,5.28
124.023,1.141,34.8,153.0,49.0,97.0,6.06
123.42,1.66,33.0,74.0,26.0,61.0,5.1
123.14,1.37,18.1,94.0,21.0,84.0,5.5
123.88,1.3,24.9,296.0,36.0,75.0,5.3
126.834,2.134,35.0,295.0,88.0,85.0,5.8
126.58,2.56,39.9,32.0,36.0,92.0,5.3
126.111,0.606,45.2,223.0,52.0,114.0,5.74
126.354,1.642,20.0,11.0,41.0,-87.0,5.09
123.62,1.42,33.0,122.0,9.0,106.0,5.3
122.962,1.177,23.7,291.0,67.0,98.0,6.87
126.516,-7.469,25.0,283.0,59.0,106.0,6.57
122.768,1.199,30.0,276.0,83.0,88.0,7.52
126.64,2.74,38.5,28.0,32.0,102.0,5.4
122.74,1.56,15.0,321.0,63.0,150.0,5.4
123.065,1.147,31.2,69.0,31.0,58.0,5.36
124.74,-7.76,44.3,62.0,29.0,89.0,5.6
122.4,-7.61,43.7,14.0,83.0,-1.0,5.8
122.542,1.088,30.0,273.0,65.0,92.0,6.59
122.551,1.261,27.2,115.0,38.0,115.0,5.03
122.755,1.397,25.0,93.0,40.0,80.0,5.27
122.098,1.238,30.0,286.0,66.0,108.0,5.93
126.678,3.599,15.0,7.0,25.0,133.0,5.3
126.456,3.517,25.4,350.0,14.0,106.0,5.38
126.81,-3.42,33.0,212.0,82.0,-178.0,5.1
123.08,1.37,47.9,39.0,29.0,138.0,5.3
126.88,2.43,31.4,1.0,39.0,52.0,5.3
126.96,3.22,19.0,197.0,6.0,121.0,5.9
122.613,1.277,34.2,258.0,78.0,82.0,6.09
125.89,-0.331,48.7,85.0,78.0,96.0,5.5
124.081,1.055,33.6,334.0,52.0,107.0,5.94
124.186,1.109,30.0,273.0,52.0,84.0,5.7
124.117,1.024,32.2,97.0,50.0,95.0,5.95
124.04,1.1,17.8,280.0,41.0,83.0,5.8
123.357,1.372,34.6,307.0,75.0,110.0,5.56
125.64,-0.05,45.8,223.0,23.0,98.0,5.5
123.575,1.256,35.0,53.0,33.0,56.0,5.41
123.44,1.34,15.0,295.0,42.0,117.0,5.2
125.991,1.104,42.7,43.0,30.0,136.0,5.4
126.641,2.614,40.0,205.0,80.0,81.0,5.68
119.699,-1.562,25.0,160.0,83.0,19.0,5.67
119.5,-1.6,31.0,68.0,72.0,173.0,5.1
120.08,-1.17,48.4,68.0,72.0,173.0,5.7
126.65,-3.22,15.0,72.0,61.0,-3.0,5.2
126.732,-3.088,17.3,72.0,61.0,-3.0,5.24
125.7,1.01,15.5,343.0,13.0,-126.0,5.3
120.1,-4.4,25.0,203.0,43.0,91.0,5.5
120.72,-4.06,43.5,203.0,43.0,91.0,5.3
126.43,1.69,43.8,180.0,28.0,76.0,5.2
123.0,1.1,29.0,74.0,37.0,59.0,5.5
124.891,0.098,45.0,28.0,61.0,82.0,5.67
125.29,-0.13,49.2,224.0,30.0,103.0,5.7
124.3,-1.0,34.0,309.0,10.0,127.0,5.8
122.8,1.61,17.7,116.0,44.0,133.0,5.4
126.87,2.83,47.4,51.0,44.0,82.0,4.9
120.356,0.802,37.2,285.0,56.0,-18.0,5.43
122.43,2.11,47.9,98.0,35.0,102.0,5.2
122.7,0.5,46.0,274.0,24.0,-138.0,5.3
125.898,0.591,20.0,173.0,80.0,79.0,6.91
125.785,0.62,17.2,183.0,81.0,84.0,6.73
125.0,1.2,36.0,35.0,11.0,122.0,6.3
125.71,0.63,16.6,35.0,11.0,122.0,6.7
125.88,0.359,25.0,209.0,57.0,102.0,5.89
125.81,0.358,25.0,181.0,64.0,103.0,5.88
123.9,1.4,0.0,333.0,29.0,65.0,5.3
126.176,0.513,46.7,334.0,44.0,-85.0,5.41
125.87,1.19,15.0,334.0,44.0,-85.0,5.4
126.454,1.996,28.7,206.0,78.0,-83.0,5.98
125.92,2.23,15.0,356.0,13.0,-119.0,6.0
123.3,-0.7,40.0,266.0,31.0,154.0,5.1
123.394,1.245,25.0,109.0,13.0,93.0,5.23
124.88,-7.71,33.0,41.0,37.0,56.0,5.3
125.14,-7.71,33.0,46.0,32.0,76.0,5.5
126.072,0.592,35.0,213.0,69.0,132.0,5.63
126.9,-2.56,42.5,42.0,41.0,-6.0,5.4
126.1,1.7,38.0,34.0,36.0,74.0,5.2
126.32,2.44,44.5,34.0,36.0,74.0,5.5
124.1,-0.4,35.0,180.0,38.0,12.0,5.5
119.81,-2.97,33.0,216.0,68.0,177.0,5.3
120.8,2.0,39.0,39.0,73.0,-3.0,5.1
120.858,1.965,30.0,130.0,88.0,-163.0,5.65
126.505,1.64,40.8,66.0,46.0,115.0,5.11
126.74,2.26,39.0,66.0,46.0,115.0,5.1
126.17,1.38,49.3,330.0,57.0,31.0,5.9
126.841,2.557,46.3,153.0,63.0,83.0,6.21
121.1,-1.6,50.0,142.0,74.0,16.0,5.2
121.0,-0.25,43.2,142.0,74.0,16.0,5.2
120.2,-1.1,30.0,129.0,29.0,-58.0,5.8
121.3,-2.7,30.0,24.0,81.0,178.0,4.8
121.183,-2.369,35.0,24.0,81.0,178.0,5.23
121.93,-1.89,49.0,24.0,81.0,178.0,5.2
126.98,3.17,38.3,207.0,17.0,136.0,5.3
125.48,-1.99,33.0,280.0,70.0,-5.0,5.3
126.722,4.254,43.9,26.0,54.0,96.0,5.69
126.85,4.22,43.3,196.0,37.0,82.0,5.7
123.61,0.46,33.0,109.0,57.0,-24.0,5.0
123.473,0.451,47.5,109.0,57.0,-24.0,5.04
126.191,0.906,28.4,151.0,41.0,54.0,5.15
126.0,0.5,43.0,218.0,48.0,114.0,5.4
121.618,1.241,28.0,9.0,53.0,-87.0,5.95
122.0,0.6,35.0,185.0,37.0,-93.0,5.5
121.72,1.32,17.8,185.0,37.0,-93.0,5.9
126.706,3.598,40.3,14.0,48.0,116.0,6.23
126.807,3.46,21.6,18.0,26.0,139.0,5.13
126.862,3.563,23.3,349.0,59.0,82.0,5.63
119.963,0.741,33.5,252.0,85.0,94.0,7.87
120.2,0.3,21.0,36.0,6.0,54.0,5.5
119.93,0.74,15.0,36.0,6.0,54.0,7.9
119.3,1.0,33.0,165.0,72.0,161.0,4.7
119.965,0.722,35.0,165.0,72.0,161.0,5.43
119.88,0.66,26.7,53.0,57.0,-8.0,5.5
125.0,0.08,40.1,202.0,28.0,78.0,5.0
120.169,0.937,36.7,148.0,20.0,124.0,5.28
119.621,0.489,30.7,235.0,86.0,34.0,5.61
120.162,0.945,21.6,257.0,77.0,95.0,5.7
120.158,1.05,14.9,257.0,76.0,94.0,6.02
124.734,-2.006,35.2,297.0,62.0,3.0,5.44
126.501,3.021,45.6,17.0,69.0,92.0,5.88
127.039,-3.913,36.2,279.0,33.0,101.0,5.25
126.201,3.04,32.8,206.0,74.0,101.0,5.89
120.373,1.072,29.9,58.0,22.0,66.0,5.44
126.236,3.077,30.5,221.0,65.0,95.0,5.58
126.35,3.6,37.6,30.0,26.0,80.0,5.6
126.1,3.3,33.0,354.0,24.0,43.0,5.2
126.5,1.9,33.0,200.0,36.0,109.0,5.5
126.551,1.579,32.6,357.0,56.0,77.0,6.02
122.869,1.381,32.8,301.0,72.0,102.0,5.72
