date,time,lat,lon,depth,mw,str1,dip1,rake1,str2,dip2,rake2,mo,fac,mpp,mpr,mrr,mrt,mtp,mtt,cluster
1990-04-19,08:28:39.70,1.9,123.59,31.8,5.3,60.0,38.0,41.0,296.0,66.0,121.0,1.24e+24,24.0,,,,,,,-1
1990-04-21,05:14:09.50,1.92,123.77,38.1,5.5,59.0,32.0,56.0,278.0,64.0,110.0,1.99e+24,24.0,,,,,,,-1
1990-04-27,09:42:34.50,2.12,123.97,33.0,5.3,58.0,17.0,57.0,272.0,76.0,99.0,1.31e+24,24.0,,,,,,,-1
1990-05-09,19:46:42.80,-2.84,119.57,15.0,5.2,264.0,55.0,-15.0,3.0,78.0,-144.0,8.21e+23,23.0,,,,,,,-1
1990-05-15,18:31:41.68,1.197,123.89,30.0,5.97,227.0,63.0,81.0,65.0,29.0,106.0,11.02,17.0,-3.07,-5,9.38,-3.94,-3.62,-6.31,-1
1990-11-30,13:19:29.84,1.038,124.014,30.9,5.79,322.0,48.0,67.0,175.0,47.0,113.0,6.01,17.0,-4.92,-0.68,5.73,-1.81,1.95,-0.8,-1
1990-11-30,14:17:04.69,1.089,124.043,30.7,5.28,352.0,40.0,107.0,150.0,52.0,76.0,10.55,16.0,-9.39,-1.35,9.71,2.39,3.55,-0.32,-1
1990-12-13,12:26:42.62,1.141,124.023,34.8,6.06,153.0,49.0,97.0,321.0,41.0,81.0,1.49,18.0,-1.03,-0.25,1.43,0,0.73,-0.39,-1
1991-05-21,11:00:21.78,-7.469,126.516,25.0,6.57,283.0,59.0,106.0,74.0,34.0,65.0,8.7,18.0,1.61,1.71,6.83,-3.68,-0.07,-8.45,-1
1991-07-04,07:08:37.80,-7.76,124.74,44.3,5.6,62.0,29.0,89.0,244.0,61.0,91.0,3.53e+24,24.0,,,,,,,-1
1991-07-18,04:54:56.70,-7.61,122.4,43.7,5.8,14.0,83.0,-1.0,104.0,89.0,-173.0,5.39e+24,24.0,,,,,,,-1
1991-12-23,19:57:39.10,-3.42,126.81,33.0,5.1,212.0,82.0,-178.0,122.0,88.0,-8.0,6.19e+23,23.0,,,,,,,-1
1992-06-06,21:40:44.52,1.055,124.081,33.6,5.94,334.0,52.0,107.0,128.0,41.0,70.0,10.02,17.0,-5.71,3.06,9.86,0.97,4.22,-4.14,-1
1992-06-09,14:45:02.94,1.109,124.186,30.0,5.7,273.0,52.0,84.0,103.0,38.0,98.0,4.44,17.0,-0.22,-0.24,4.35,-1.13,0.59,-4.13,-1
1992-06-10,02:13:47.49,1.024,124.117,32.2,5.95,97.0,50.0,95.0,269.0,41.0,84.0,1.04,18.0,0.04,-0.07,1,0.16,0.05,-1.05,-1
1992-06-11,02:03:37.30,1.1,124.04,17.8,5.8,280.0,41.0,83.0,109.0,49.0,96.0,5.78e+24,24.0,,,,,,,-1
1993-01-03,04:23:36.00,-1.6,119.5,31.0,5.1,68.0,72.0,173.0,160.0,83.0,19.0,,,,,,,,,-1
1993-01-28,20:51:48.70,-3.22,126.65,15.0,5.2,72.0,61.0,-3.0,164.0,87.0,-151.0,9.05e+23,23.0,,,,,,,-1
1993-01-28,20:51:53.99,-3.088,126.732,17.3,5.24,72.0,61.0,-3.0,164.0,87.0,-151.0,9.05,16.0,4.84,4.13,-0.65,-1.43,6.49,-4.19,-1
1993-04-08,12:49:26.30,-4.4,120.1,25.0,5.5,203.0,43.0,91.0,22.0,47.0,89.0,,,,,,,,,-1
1993-04-08,12:49:35.30,-4.06,120.72,43.5,5.3,203.0,43.0,91.0,22.0,47.0,89.0,1.23e+24,24.0,,,,,,,-1
1993-05-30,22:33:58.40,-1.0,124.3,34.0,5.8,309.0,10.0,127.0,91.0,82.0,84.0,,,,,,,,,-1
1993-10-23,07:22:33.40,2.11,122.43,47.9,5.2,98.0,35.0,102.0,264.0,56.0,82.0,9.32e+23,23.0,,,,,,,-1
1993-12-07,16:27:22.50,0.5,122.7,46.0,5.3,274.0,24.0,-138.0,144.0,74.0,-71.0,,,,,,,,,-1
1993-12-09,11:38:35.40,1.2,125.0,36.0,6.3,35.0,11.0,122.0,183.0,81.0,84.0,,,,,,,,,-1
1993-12-12,18:26:38.70,1.4,123.9,0.0,5.3,333.0,29.0,65.0,181.0,64.0,103.0,,,,,,,,,-1
1994-04-09,01:28:58.80,-0.7,123.3,40.0,5.1,266.0,31.0,154.0,18.0,77.0,62.0,,,,,,,,,-1
1994-05-19,23:41:47.70,-7.71,124.88,33.0,5.3,41.0,37.0,56.0,261.0,60.0,113.0,1.09e+24,23.0,,,,,,,-1
1994-09-26,21:31:27.10,-2.56,126.9,42.5,5.4,42.0,41.0,-6.0,136.0,86.0,-131.0,1.52e+24,24.0,,,,,,,-1
1994-12-07,23:08:33.00,-2.97,119.81,33.0,5.3,216.0,68.0,177.0,308.0,87.0,22.0,1.13e+24,24.0,,,,,,,-1
1994-12-08,08:30:27.40,2.0,120.8,39.0,5.1,39.0,73.0,-3.0,130.0,88.0,-163.0,,,,,,,,,-1
1994-12-08,08:30:27.64,1.965,120.858,30.0,5.65,130.0,88.0,-163.0,39.0,73.0,-3.0,3.62,17.0,3.52,0.63,-0.27,-0.86,-0.69,-3.26,-1
1995-05-01,00:29:37.50,-1.6,121.1,50.0,5.2,142.0,74.0,16.0,47.0,74.0,163.0,,,,,,,,,-1
1995-05-01,00:29:44.10,-0.25,121.0,43.2,5.2,142.0,74.0,16.0,47.0,74.0,163.0,7.02e+23,23.0,,,,,,,-1
1995-06-12,00:16:38.50,-2.7,121.3,30.0,4.8,24.0,81.0,178.0,114.0,88.0,9.0,,,,,,,,,-1
1995-06-12,00:16:46.38,-2.369,121.183,35.0,5.23,24.0,81.0,178.0,114.0,88.0,9.0,8.9,16.0,-6.54,-0.23,-0.04,1.46,5.82,6.59,-1
1995-06-12,00:16:48.50,-1.89,121.93,49.0,5.2,24.0,81.0,178.0,114.0,88.0,9.0,8.9e+23,23.0,,,,,,,-1
1995-07-25,15:32:53.10,-1.99,125.48,33.0,5.3,280.0,70.0,-5.0,11.0,85.0,-160.0,1.3e+24,24.0,,,,,,,-1
