date,time,lat,lon,depth,mw,str1,dip1,rake1,str2,dip2,rake2,mo,fac,mpp,mpr,mrr,mrt,mtp,mtt,cluster
13-12-13,28:47.7,-0.907,121.363,15.3,5.05,249,30,-134,117,69,-68,4.67,16.0,0.27,2.67,-3.37,-2.36,0.37,3.1,-1
12-06-03,41:14.1,-0.683,123.424,41.4,5.07,91,74,-175,359,85,-16,5.1,16.0,-0.18,-1.5,0.32,-0.67,-4.85,-0.13,-1
24-11-06,33:26.2,-3.738,119.287,31.8,5.07,209,46,110,1,47,70,5.03,16.0,-4.89,0.36,4.49,-0.96,-1.54,0.4,-1
01-01-09,35:33.9,1.336,121.888,30.0,5.07,119,29,121,265,66,74,5.06,16.0,1.59,-0.31,3.04,-3.12,0.94,-4.64,-1
06-11-18,09:51.2,3.469,125.34,31.0,5.07,357,23,81,187,67,94,5.03,16.0,-3.96,-3.45,3.29,-0.48,-0.2,0.67,-1
30-04-02,01:05.2,-0.598,123.19,39.1,5.08,36,43,21,290,76,131,5.21,16.0,0.82,3.91,1.63,-2.73,-2.27,-2.46,-1
06-05-07,03:44.5,-3.615,123.308,15.0,5.08,96,33,-74,258,58,-100,5.18,16.0,-0.56,0.85,-4.34,2.15,0.35,4.9,-1
20-11-05,34:42.7,-7.862,123.733,15.0,5.09,101,60,171,195,82,30,5.42,16.0,1.61,-2.69,0.8,-0.13,-4.2,-2.41,-1
19-04-08,51:18.7,-7.984,125.681,16.8,5.09,109,59,-164,11,76,-32,5.42,16.0,2.81,-2.3,-1.19,-1.68,-3.91,-1.62,-1
17-08-88,09:37.2,1.51,125.21,29.6,5.1,56,60,8,322,83,149,6.46e+23,23.0,,,,,,,-1
03-02-90,43:39.7,-2.36,126.03,34.6,5.1,61,62,29,316,64,148,6.13e+23,23.0,,,,,,,-1
04-04-90,07:27.6,-0.47,122.68,33.0,5.1,229,41,-156,121,74,-51,5.57e+23,23.0,,,,,,,-1
23-12-91,57:39.1,-3.42,126.81,33.0,5.1,212,82,-178,122,88,-8,6.19e+23,23.0,,,,,,,-1
03-01-93,23:36.0,-1.6,119.5,31.0,5.1,68,72,173,160,83,19,,,,,,,,,-1
09-04-94,28:58.8,-0.7,123.3,40.0,5.1,266,31,154,18,77,62,,,,,,,,,-1
08-12-94,30:27.4,2.0,120.8,39.0,5.1,39,73,-3,130,88,-163,,,,,,,,,-1
