date,time,lat,lon,depth,mw,str1,dip1,rake1,str2,dip2,rake2,mo,fac,mpp,mpr,mrr,mrt,mtp,mtt,cluster
26-08-00,55:25.7,-5.809,123.344,15.0,5.17,261,18,89,82,72,90,7.14,16.0,-0.79,0.82,4.51,5.75,-0.47,-3.72,-1
11-10-00,34:27.6,-1.62,124.0,33.0,5.5,42,77,178,132,88,13,2.39e+24,24.0,,,,,,,-1
10-12-00,05:51.4,-0.99,121.45,33.0,5.1,124,8,-49,262,84,-95,,,,,,,,,-1
10-12-00,05:52.5,-1.01,121.88,33.0,5.4,124,8,-49,262,84,-95,1.86e+24,24.0,,,,,,,-1
26-02-01,32:38.6,-1.09,121.12,33.0,4.3,211,42,98,21,48,83,,,,,,,,,-1
14-03-01,56:22.1,0.28,122.16,33.0,4.6,351,45,48,223,58,124,,,,,,,,,-1
03-05-01,14:13.5,-5.35,122.53,33.0,4.2,296,30,69,139,62,101,,,,,,,,,-1
03-05-01,13:29.2,-7.846,124.773,30.5,5.3,296,30,69,139,62,101,11.07,16.0,-3.12,-5.32,8.79,3.31,4.88,-5.67,-1
03-05-01,13:34.5,-7.24,125.16,28.1,5.3,296,30,69,139,62,101,1.11e+24,23.0,,,,,,,-1
08-05-01,14:20.8,-0.93,121.88,15.0,5.1,318,47,-35,73,65,-131,5.58e+23,23.0,,,,,,,-1
04-06-01,59:12.9,-5.29,124.15,33.0,4.8,180,42,-155,70,74,-51,,,,,,,,,-1
23-06-01,34:22.6,-1.17,125.61,33.0,5.4,223,26,92,41,64,89,,,,,,,,,-1
01-07-01,40:57.5,-3.9,123.39,33.0,5.0,228,11,142,355,83,82,,,,,,,,,-1
01-07-01,40:58.1,-4.258,123.28,20.0,5.59,355,83,82,228,11,142,2.95,17.0,-0.87,2.83,0.53,-0.22,-0.34,0.34,-1
01-07-01,41:01.7,-3.9,123.82,16.0,5.6,228,11,142,355,83,82,2.95e+24,24.0,,,,,,,-1
09-08-01,20:18.1,-7.426,120.637,25.0,5.4,14,28,70,216,64,100,1.56,17.0,-1.06,-0.73,1.07,-0.59,-0.71,-0.01,-1
09-08-01,20:32.5,-7.32,121.22,39.0,5.4,14,28,70,216,64,100,1.56e+24,24.0,,,,,,,-1
08-09-01,30:15.4,1.39,125.34,15.0,5.2,313,11,-177,220,89,-79,8.42e+23,23.0,,,,,,,-1
19-10-01,42:37.7,-5.2,124.26,34.1,5.3,185,72,-172,92,83,-18,9.65e+23,23.0,,,,,,,-1
20-10-01,18:08.3,-3.86,124.33,15.0,5.4,97,44,9,1,84,133,1.71e+24,24.0,,,,,,,-1
21-10-01,02:52.1,-4.964,124.044,30.0,5.65,101,76,17,6,74,165,3.65,17.0,-1.02,0.87,0.08,1.27,3.19,0.95,-1
03-11-01,50:24.8,-2.963,122.236,35.2,5.27,104,24,12,3,85,114,10.07,16.0,-3.74,9.08,0.67,-1.21,3.89,3.08,-1
30-11-01,22:05.7,-1.0,119.0,33.0,5.0,170,50,12,72,81,140,,,,,,,,,-1
07-02-02,16:09.1,-2.07,126.08,21.0,5.4,277,19,-160,168,84,-72,,,,,,,,,-1
08-02-02,30:58.3,-3.66,120.07,33.0,4.5,272,30,-7,8,87,-120,,,,,,,,,-1
14-02-02,14:02.0,-0.7,122.5,21.0,5.3,221,64,175,313,86,26,,,,,,,,,-1
15-03-02,36:48.3,-3.89,122.52,33.0,4.8,225,27,143,349,74,68,,,,,,,,,-1
15-03-02,36:36.0,-4.174,123.295,15.0,5.42,225,27,143,349,74,68,1.71,17.0,-1.01,1.28,0.85,-0.45,-0.44,0.17,-1
22-03-02,37:45.8,-1.28,125.08,32.0,4.8,217,16,119,7,76,82,,,,,,,,,-1
14-05-02,19:09.5,3.71,125.42,48.0,5.4,46,44,126,180,56,60,1.71e+24,24.0,,,,,,,-1
14-05-02,19:04.9,3.461,125.533,35.0,5.42,46,44,126,180,56,60,1.71,17.0,-1.47,-0.52,1.31,0.32,-0.82,0.17,-1
23-07-02,35:52.5,0.71,124.23,24.6,5.1,199,50,-5,292,86,-140,6.31e+23,23.0,,,,,,,-1
15-08-02,30:29.8,-1.314,121.361,20.0,6.16,210,52,112,357,43,65,2.15,18.0,-1.97,-0.14,1.97,-0.69,-0.5,0.01,-1
15-08-02,30:36.8,-1.26,121.3,15.0,6.2,357,43,65,210,52,112,2.15e+25,25.0,,,,,,,-1
14-12-02,57:03.5,-1.16,123.2,34.0,4.9,224,62,154,327,67,31,,,,,,,,,-1
28-01-03,05:02.1,-0.733,122.018,20.1,5.17,327,40,-98,158,50,-83,7.2,16.0,5.61,1.39,-6.89,0,-3.12,1.27,-1
28-01-03,29:38.9,-0.87,121.95,33.0,5.4,294,46,-110,142,47,-71,,,,,,,,,-1
14-06-03,01:35.8,-1.61,124.95,26.2,5.4,319,53,8,224,84,142,1.63e+24,24.0,,,,,,,-1
14-06-03,01:43.2,-1.64,123.98,30.0,5.4,319,53,8,224,84,142,,,,,,,,,-1
05-11-03,02:46.5,-2.88,121.27,33.0,5.0,281,23,-84,95,67,-93,4.26e+23,23.0,,,,,,,-1
15-11-03,58:47.0,-7.86,121.94,15.0,5.2,299,10,74,135,80,93,7.52e+23,23.0,,,,,,,-1
14-12-03,22:56.3,-3.54,125.96,35.0,4.9,61,69,2,330,88,159,,,,,,,,,-1
09-03-04,56:27.5,-2.44,125.5,43.0,5.1,345,41,121,126,56,66,,,,,,,,,-1
09-03-04,56:30.5,-2.074,125.081,15.0,5.58,126,56,66,345,41,121,2.84,17.0,-1.74,-0.21,2.21,0.91,1.85,-0.48,-1
21-05-04,45:31.0,-7.63,123.2,33.0,4.9,230,39,26,119,74,126,,,,,,,,,-1
