% ini datanya			
%	strike	dip	rake
	86	80	101
	127	35	9
	127	56	5
	176	27	54
	227	29	87
	229	24	128
	198	43	81
	161	34	83
	236	29	108
	79	35	133
	196	44	72
	190	44	72
	190	44	72
	190	44	72
	33	61	77
	144	17	24
	226	69	129
	12	73	77
	240	39	110
	80	67	20
	52	28	-39
	20	80	173
	191	41	73
	227	36	90
	188	42	97
	78	67	-8
	57	32	-97
	20	43	81
	7	37	72
	29	63	75
	19	42	95
	80	60	-164
	346	76	11
	90	60	28
	42	31	104
	342	63	22
	189	27	83
	26	39	91
	234	52	-162
	157	38	-58
	60	48	163
	268	27	113
	242	29	113
	248	33	117
	352	43	85
	175	64	55
	224	73	-155
	216	35	81
	229	42	140
	188	49	57
	358	44	58
	276	51	161
	164	53	39
	346	40	94
	33	64	68
	24	43	105
	1	32	69
	206	7	115
	176	30	78
	225	41	112
	16	49	67
	193	43	90
	5	39	75
	20	37	24
	242	36	128
	21	33	73
	350	56	20
	264	37	141
	252	45	121
	250	33	122
	28	66	66
	32	65	72
	58	55	142
	21	41	86
	236	57	104
	150	59	61
	300	43	160
	188	43	84
	72	61	102
	321	54	67
	30	37	105
	205	57	82
	267	35	154
	180	54	95
	216	49	46
	32	34	93
	45	39	82
	181	58	57
	40	26	107
	195	57	96
	204	56	91
	128	39	-174
	19	43	61
	237	35	116
	34	42	91
	16	42	74
	9	56	38
	214	34	85
	13	35	78
	201	41	94
	2	68	19
	29	36	94
	248	43	136
	48	44	92
	228	35	109
	14	34	94
	73	80	178
	37	40	102
	181	49	54
	184	47	55
	219	45	119
	194	30	92
	15	64	102
	35	49	121
	34	27	-71
	204	40	78
	176	26	86
	193	30	84
	81	49	155
	226	51	100
	47	49	123
	217	50	109
	222	39	178
	34	40	98
	27	41	129
	234	35	117
	98	20	31
	33	63	71
	147	76	58
	326	51	55
	250	33	123
	247	32	116
	46	32	109
	173	24	79
	128	73	-21
	13	48	62
	14	50	47
	31	33	98
	153	79	-2
	32	35	92
	39	44	102
	254	63	161
	40	78	180
	175	23	88
	15	42	80
	183	32	70
	346	41	42
	171	41	87
	198	33	116
	45	37	117
	44	18	134
	5	30	83
	26	26	92
	10	49	57
	18	34	79
	73	53	141
	219	43	103
	191	41	-30
	11	45	75
	16	46	68
	349	50	34
	202	43	105
	337	62	-8
	19	40	96
	182	28	92
	342	51	35
