"// "
"// Example data file for Orient 3 (Vollmer, 2015)"
"// "
// Grovudalen Foliations
"// Partial data set of 625 strike and dips of foliations in gneisses, "
"// Grovudalen, Western Gneiss Region, Norway (Vollmer, 1985)."
"// "
"// Vollmer, F.W., 1985, A structural study of the Grovudal fold-nappe, western "
"// Norway: PhD thesis, University of Minnesota, Minneapolis, Advisor P.J. "
"// Hudleston, 233 p. "
"// "
// -------------------------------------------------------------------------------------
Easting,Northing,Strike,Dip,Type
953.000,249.000,292.0,76.0,S
955.000,253.000,305.0,82.0,S
952.000,253.000,295.0,74.0,S
958.000,256.000,104.0,82.0,S
956.000,256.000,306.0,87.0,S
954.000,256.000,336.0,82.0,S
959.000,258.000,105.0,88.0,S
951.000,259.000,10.0,85.0,S
952.000,260.000,181.0,84.0,S
953.000,261.000,354.0,87.0,S
954.000,262.000,154.0,83.0,S
952.000,263.000,177.0,88.0,S
955.000,265.000,349.0,83.0,S
952.000,266.000,13.0,86.0,S
951.000,268.000,59.0,77.0,S
956.000,269.000,306.0,64.0,S
951.000,269.000,2.0,85.0,S
954.000,271.000,315.0,85.0,S
958.000,273.000,39.0,81.0,S
954.000,273.000,288.0,90.0,S
957.000,275.000,9.0,88.0,S
959.000,276.000,18.0,78.0,S
955.000,278.000,16.0,78.0,S
957.000,281.000,35.0,84.0,S
959.000,282.000,20.0,82.0,S
958.000,286.000,12.0,77.0,S
955.000,289.000,62.0,81.0,S
951.000,289.000,70.0,70.0,S
954.000,294.000,69.0,76.0,S
967.000,158.000,70.0,89.0,S
961.000,163.000,61.0,82.0,S
962.000,165.000,263.0,83.0,S
968.000,168.000,254.0,88.0,S
961.000,168.000,62.0,87.0,S
961.000,172.000,60.0,64.0,S
963.000,172.000,69.0,65.0,S
964.000,177.000,64.0,47.0,S
969.000,178.000,85.0,49.0,S
963.000,181.000,53.0,52.0,S
965.000,183.000,40.0,47.0,S
964.000,186.000,30.0,45.0,S
963.000,187.000,43.0,40.0,S
968.000,189.000,298.0,76.0,S
969.000,189.000,50.0,56.0,S
965.000,191.000,32.0,48.0,S
963.000,192.000,32.0,41.0,S
961.000,193.000,32.0,38.0,S
968.000,202.000,55.0,16.0,S
964.000,207.000,20.0,54.0,S
964.000,207.000,18.0,53.0,S
961.000,209.000,9.0,50.0,S
962.000,211.000,20.0,51.0,S
965.000,211.000,41.0,60.0,S
968.000,211.000,32.0,51.0,S
964.000,218.000,22.0,58.0,S
960.000,218.000,31.0,50.0,S
962.000,219.000,22.0,50.0,S
966.000,219.000,55.0,68.0,S
967.000,225.000,0.0,76.0,S
962.000,226.000,347.0,47.0,S
