// Orient data file
// Add data id or metadata here
ID	Station	Latitude	Longitude	Strike	Dip	Trend	Plunge	Sense	Rake	Type
36		1.2770	122.6130	258.00	78.00	22.06	75.61	Rev	-82.00	
37		1.3720	123.3570	307.00	75.00	342.42	65.19	Rev	-110.00	
38		1.2560	123.5750	53.00	33.00	181.81	26.84	Rev	-56.00	
39		1.3400	123.4400	295.00	42.00	350.56	36.60	Rev	-117.00	
40		1.1000	123.0000	74.00	37.00	200.96	31.05	Rev	-59.00	
41		1.6100	122.8000	116.00	44.00	153.65	30.53	Rev	-133.00	
42		1.4000	123.9000	333.00	29.00	91.06	26.06	Rev	-65.00	
43		1.2450	123.3940	109.00	13.00	195.92	12.98	Rev	-93.00	
44		1.3200	121.7200	185.00	37.00	278.75	36.94	Nor	93.00	
45		1.2410	121.6180	9.00	53.00	94.02	52.90	Nor	87.00	
46		1.3810	122.8690	301.00	72.00	356.48	68.48	Rev	-102.00	
47		1.3000	122.6000	98.00	21.00	184.79	20.97	Rev	-93.00	
48		1.2810	123.4650	66.00	18.00	202.44	12.62	Sin	-45.00	
49		1.5300	122.8800	66.00	18.00	202.44	12.62	Sin	-45.00	
50		1.4600	123.4000	138.00	60.00	316.00	3.46	Dex	176.00	
51		1.0870	121.9170	105.00	23.00	189.57	22.91	Rev	-95.00	
52		1.3220	122.8220	281.00	72.00	352.22	71.06	Rev	-96.00	
53		1.5400	122.6200	147.00	39.00	177.35	22.26	Dex	-143.00	
54		1.2500	121.8320	240.00	28.00	339.04	27.70	Nor	98.00	
55		1.2050	121.8360	69.00	63.00	174.13	62.17	Nor	97.00	
56		1.2800	121.7900	85.00	37.00	175.00	37.00	Rev	-90.00	
57		1.4210	122.9260	92.00	29.00	169.47	28.42	Rev	-101.00	
58		1.3050	122.7230	275.00	72.00	8.23	71.97	Rev	-89.00	
59		1.2640	122.7270	271.00	69.00	6.57	68.91	Rev	-88.00	
60		1.3360	121.8880	119.00	29.00	174.51	24.55	Rev	-121.00	
61		1.3400	123.4940	106.00	18.00	188.64	17.86	Rev	-97.00	
62		1.3510	122.2950	270.00	74.00	7.22	73.88	Rev	-88.00	
63		1.6600	122.2100	96.00	22.00	178.46	21.83	Rev	-97.00	
64		1.0600	123.2700	266.00	26.00	10.41	25.29	Nor	103.00	
65		0.9720	121.7790	110.00	48.00	267.31	23.19	Dex	148.00	
66		1.4000	121.5700	354.00	42.00	97.35	41.22	Nor	100.00	
67		1.2800	122.1200	105.00	22.00	185.31	21.72	Rev	-99.00	
68		1.1980	122.1310	276.00	67.00	13.64	66.82	Rev	-87.00	
69		1.8200	122.2000	93.00	28.00	181.87	28.00	Rev	-91.00	
70		1.4500	122.2100	102.00	20.00	180.31	19.62	Rev	-101.00	
71		1.4460	122.2850	278.00	68.00	15.96	67.81	Rev	-87.00	
72		1.4070	122.3630	105.00	19.00	186.55	18.81	Rev	-98.00	
73		1.9300	122.9700	110.00	32.00	202.36	31.98	Nor	92.00	
74		1.5200	122.8900	101.00	21.00	184.58	20.88	Rev	-96.00	
75		1.1900	121.7700	98.00	36.00	186.76	35.99	Rev	-91.00	
76		1.4300	121.5200	186.00	44.00	256.88	42.38	Nor	76.00	
77		1.1600	122.1600	93.00	39.00	180.43	38.97	Rev	-92.00	
78		1.5800	123.4600	85.00	34.00	208.77	29.28	Rev	-61.00	
79		1.6000	121.9800	91.00	20.00	179.94	20.00	Rev	-91.00	
80		1.5600	121.9200	96.00	20.00	180.68	19.92	Rev	-95.00	
81		1.3000	122.0500	2.00	53.00	159.15	27.26	Sin	-35.00	
