date,time,lat,lon,depth,mw,str1,dip1,rake1,str2,dip2,rake2,mo,fac,mpp,mpr,mrr,mrt,mtp,mtt,corepoint
1986-01-03,09:43:28.68,-0.916,126.885,25.0,6.06,174.0,74.0,98.0,329.0,18.0,66.0,1.53,18.0,-0.74,-1.28,0.82,0.07,0.27,-0.08,c
1986-04-10,02:21:12.31,-0.843,126.831,15.0,6.15,201.0,87.0,119.0,297.0,29.0,6.0,2.08,18.0,-1.06,-1.78,0.11,-0.36,0.46,0.96,c
1986-04-21,23:36:19.54,2.045,126.49,35.0,5.9,229.0,66.0,118.0,355.0,36.0,43.0,8.82,17.0,-6.15,-1.72,6.05,-5.82,-2.37,0.1,c
1986-07-12,16:05:16.18,1.994,126.45,44.8,5.89,209.0,50.0,89.0,31.0,40.0,91.0,8.29,17.0,-6.33,-1.33,7.52,-0.64,-4.33,-1.19,c
1986-08-14,19:39:14.87,1.882,126.515,32.3,7.51,224.0,81.0,104.0,347.0,16.0,34.0,2.26,20.0,-0.93,-1.35,0.84,-1.62,-0.06,0.1,c
1986-08-14,19:39:28.90,3.08,126.89,20.2,7.5,347.0,16.0,34.0,224.0,81.0,104.0,2.2600000000000002e+27,27.0,,,,,,,c
1986-08-15,07:40:45.63,1.925,126.514,29.1,6.22,35.0,80.0,-94.0,237.0,11.0,-68.0,2.67,18.0,0.43,-2.06,-0.94,-1.42,0.47,0.5,c
1986-08-16,17:19:22.99,1.897,126.572,20.0,6.41,29.0,79.0,-89.0,205.0,11.0,-94.0,5.11,18.0,1.59,-4.17,-1.62,-2.28,1.09,0.03,c
1986-08-16,21:08:29.30,1.827,126.509,30.2,6.03,94.0,84.0,-80.0,217.0,11.0,-147.0,1.37,18.0,0.02,0.14,-0.31,-1.32,0.21,0.29,c
1986-08-17,15:27:43.23,2.328,126.933,36.3,6.42,334.0,61.0,115.0,109.0,38.0,52.0,5.2,18.0,-1.67,3.11,4.3,0.33,2.04,-2.62,c
1986-08-18,14:16:22.50,2.2,126.35,23.9,5.8,342.0,38.0,95.0,156.0,52.0,86.0,5.41e+24,24.0,,,,,,,c
1986-08-20,18:15:41.07,2.164,126.571,40.6,5.48,201.0,53.0,111.0,348.0,42.0,64.0,2.04,17.0,-1.93,-0.33,1.88,-0.65,-0.13,0.06,c
1986-08-24,23:46:53.80,2.32,126.68,17.8,5.5,339.0,43.0,111.0,132.0,50.0,72.0,2.36e+24,24.0,,,,,,,c
1986-09-11,17:54:03.48,0.619,125.851,20.0,5.8,188.0,80.0,85.0,35.0,11.0,117.0,6.22,17.0,-2.09,-5.81,1.77,-0.74,-0.89,0.33,c
1986-09-25,20:06:12.53,3.777,126.677,29.0,6.02,26.0,71.0,123.0,143.0,37.0,32.0,13.15,17.0,-9.55,6.46,7.07,7.63,2.23,2.48,c
1986-11-11,00:02:29.08,2.531,126.741,35.0,5.95,275.0,85.0,-18.0,7.0,72.0,-174.0,10.51,17.0,-2.1,-1.68,0.28,3.14,9.73,1.82,c
1987-01-29,02:43:48.66,1.384,126.192,44.8,6.38,220.0,53.0,118.0,358.0,45.0,58.0,4.62,18.0,-4.16,-0.11,3.81,-1.52,-1.78,0.35,c
1987-02-08,17:48:53.13,1.729,126.568,32.6,6.2,230.0,72.0,135.0,337.0,48.0,25.0,2.46,18.0,-2.11,-0.55,1.07,-1.3,-0.86,1.04,c
1987-02-16,09:38:17.30,1.15,126.46,37.3,5.4,20.0,43.0,55.0,244.0,56.0,118.0,1.47e+24,24.0,,,,,,,c
1987-02-16,17:28:14.49,0.886,126.199,36.6,6.2,34.0,51.0,91.0,213.0,39.0,89.0,2.42,18.0,-1.64,0.38,2.33,0.28,-1.15,-0.69,c
1987-03-18,00:22:52.26,2.184,126.501,46.2,6.06,215.0,57.0,98.0,20.0,34.0,78.0,1.49,18.0,-1.09,-0.43,1.33,-0.43,-0.6,-0.24,c
1987-06-09,22:25:49.56,3.585,126.769,25.0,5.15,176.0,32.0,90.0,355.0,58.0,90.0,6.68,16.0,-6.18,3.02,5.68,-0.26,0.54,0.51,c
1987-07-09,04:31:24.16,3.941,126.521,28.4,5.32,127.0,21.0,30.0,9.0,80.0,108.0,1.22,17.0,-0.53,1.06,0.39,0.22,0.29,0.14,c
1987-08-09,08:17:51.70,0.591,126.166,41.0,5.27,354.0,46.0,64.0,209.0,49.0,114.0,1.0,17.0,-1.01,0,0.86,-0.25,-0.25,0.15,c
1987-09-29,00:40:37.40,2.63,126.51,15.0,5.3,331.0,39.0,87.0,155.0,51.0,93.0,1.27e+24,24.0,,,,,,,c
1987-11-14,21:20:46.30,0.04,125.93,20.4,5.8,230.0,24.0,118.0,20.0,69.0,78.0,5.79e+24,24.0,,,,,,,c
1987-11-27,00:02:10.62,-0.177,125.106,43.0,6.06,17.0,62.0,72.0,232.0,33.0,121.0,1.53,18.0,-0.8,0.88,1.29,-0.06,-0.56,-0.48,c
1987-11-28,04:03:48.02,-0.243,124.92,40.0,6.26,21.0,71.0,75.0,240.0,24.0,126.0,3.04,18.0,-0.97,2.32,2.05,0.43,-0.86,-1.07,c
1987-11-28,04:03:54.00,-0.14,125.68,15.0,6.3,240.0,24.0,126.0,21.0,71.0,75.0,3.0399999999999997e+25,25.0,,,,,,,c
1987-11-30,04:41:41.07,0.032,125.11,41.0,5.62,34.0,60.0,83.0,229.0,30.0,103.0,3.26,17.0,-1.58,1.51,2.91,0.72,-1.25,-1.32,c
1987-12-23,10:10:17.78,-0.155,124.955,24.6,5.62,31.0,64.0,82.0,229.0,28.0,106.0,3.29,17.0,-1.52,1.79,2.63,0.83,-1.28,-1.11,c
1987-12-23,10:10:24.50,0.05,125.62,49.3,5.6,229.0,28.0,106.0,31.0,64.0,82.0,3.29e+24,24.0,,,,,,,c
1988-02-17,23:39:27.17,3.874,126.721,27.0,5.65,17.0,54.0,113.0,160.0,42.0,61.0,3.66,17.0,-3.81,0.74,3.03,0.9,0.07,0.78,c
1988-04-19,19:10:49.43,3.875,126.641,30.0,5.63,3.0,60.0,89.0,185.0,30.0,91.0,3.43,17.0,-2.89,1.7,3.04,0.08,-0.2,-0.15,c
1988-07-16,06:05:03.13,3.148,126.874,27.1,5.65,234.0,69.0,-46.0,344.0,47.0,-152.0,3.71,17.0,2.43,-0.47,-1.47,3.52,0.62,-0.97,c
1988-09-26,13:31:09.20,-0.292,125.102,49.5,5.56,10.0,61.0,39.0,259.0,57.0,144.0,2.69,17.0,-0.66,1.39,1.3,-1.24,-1.69,-0.64,c
1988-10-08,21:32:05.28,4.226,126.475,35.8,5.92,200.0,48.0,97.0,10.0,42.0,82.0,9.31,17.0,-8.53,-0.71,9.31,-1.1,-2.22,-0.77,c
1988-10-08,21:32:07.60,4.33,126.98,18.1,5.9,10.0,42.0,82.0,200.0,48.0,97.0,9.31e+24,24.0,,,,,,,c
1988-10-09,04:16:55.68,4.236,126.589,36.7,5.32,200.0,42.0,109.0,355.0,51.0,73.0,1.19,17.0,-1.26,0.2,1.02,-0.17,-0.18,0.24,c
1988-11-21,15:32:39.38,2.035,126.8,44.7,5.88,318.0,75.0,68.0,195.0,26.0,144.0,8.19,17.0,-4.85,3.26,5.01,-6.51,-0.8,-0.16,c
