date,time,lat,lon,depth,mw,str1,dip1,rake1,str2,dip2,rake2,mo,fac,mpp,mpr,mrr,mrt,mtp,mtt
13-01-17,39:25.4,-0.081,124.969,46.8,5.66,33,63,71,250,32,123,3.83,17,-1.06,2.2,3.02,0.62,-1.57,-1.95
24-04-17,13:50.9,-0.3,125.24,39,5.4,250,33,123,32,63,70,1.36e+24,24,,,,,,
31-08-17,57:39.4,-0.33,125.2,35.1,5.4,247,32,116,37,61,75,1.86e+24,24,,,,,,
13-10-19,35:15.8,-0.11,124.65,25,5.3,195,13,14,91,87,102,9.95e+23,24,,,,,,
11-12-19,48:32.7,-0.37,125.17,35.6,4.8,220,32,92,39,58,89,2.29e+23,23,,,,,,
23-02-20,39:55.8,-0.42,125.37,36.5,5,255,33,123,38,62,70,4.72e+23,23,,,,,,
23-02-20,08:07.5,-0.38,125.22,32.5,5.4,241,32,107,41,60,80,1.83e+24,24,,,,,,
28-10-20,09:00.5,-0.36,124.45,39.8,5.4,240,35,116,30,59,73,1.38e+24,24,,,,,,
24-12-20,24:16.1,-0.35,124.39,37.4,5.2,247,33,107,47,59,79,9.43e+23,24,,,,,,
28-12-20,31:11.6,-0.26,124.55,40.6,5.2,230,29,87,53,61,91,7.23e+23,23,,,,,,
05-02-21,34:47.5,-0.26,124.42,41.2,4.8,236,34,113,29,59,75,2.1e+23,23,,,,,,
14-04-21,25:28.2,-0.35,125.35,41.4,4.9,239,33,108,38,58,78,2.52e+23,23,,,,,,
30-12-21,13:20.2,-0.27,125.16,36.3,5.6,247,32,119,33,62,73,3.16e+24,24,,,,,,
29-04-22,42:03.0,-0.35,124.55,37.8,5,233,29,104,37,62,82,3.85e+23,23,,,,,,
21-08-22,08:36.6,-0.35,125.26,35.9,4.9,257,49,148,12,69,51,3.01e+23,23,,,,,,
