date,time,lat,lon,depth,mw,str1,dip1,rake1,str2,dip2,rake2,mo,fac,mpp,mpr,mrr,mrt,mtp,mtt,datetime
2017-11-25,09:14:50.920,-1.328,119.94,20.0,5.02,64,74,-179,334,89,-16,4.32,16.0,-2.82,-0.91,-0.83,0.72,-2.62,3.65,2017-11-25 09:14:50.920
2017-11-25,11:11:24.590,-1.314,120.013,19.1,5.07,67,84,178,157,88,6,5.0,16.0,-2.98,-0.41,-1.18,0.61,-3.44,4.16,2017-11-25 11:11:24.590
2018-01-17,04:25:50.7,-0.459472,119.858795,8.32,4.32504,101,34,-93,284,56,-88,,B,,,,,,,2018-01-17 04:25:50.700
2018-02-14,21:28:55.100,-1.34,120.48,26.8,4.8,275,38,-97,104,53,-85,2.04e+23,23.0,,,,,,,2018-02-14 21:28:55.100
2018-03-01,05:14:26.7,-0.231089,119.876663,13.106,4.83039,177,45,-18,280,77,-133,,A,,,,,,,2018-03-01 05:14:26.700
2018-03-01,06:11:10.2,-0.152682,119.788582,30.313,4.42611,51,71,56,296,38,149,,A,,,,,,,2018-03-01 06:11:10.200
2018-09-21,23:20:33.300,-0.78,119.67,30.2,4.9,7,34,56,226,62,111,2.52e+23,23.0,,,,,,,2018-09-21 23:20:33.300
2018-09-21,23:20:35.3,-0.905477,119.705032,58.984,5.23467,237,85,138,332,48,7,,B,,,,,,,2018-09-21 23:20:35.300
2018-09-28,07:00:01.2,-0.34243,119.748436,9.473,6.1,272,85,165,3,75,5,,B,,,,,,,2018-09-28 07:00:01.200
2018-09-28,07:50:43.8,-0.192426,119.771126,6.336,4.7,183,59,-4,276,87,-149,,B,,,,,,,2018-09-28 07:50:43.800
2018-09-28,08:25:00.0,-0.337766,119.803528,7.021,5.3,102,86,179,192,89,4,,B,,,,,,,2018-09-28 08:25:00.000
