"// "
"// Example data file for Orient 3 (Vollmer, 2015)"
// Latitude and longitude formated as spherical projection data
"// "
// Modern continental outlines from data file Modern.cno of EdGCM Global Climate
// Modeling software (2005) http://edgcm.columbia.edu/:
"// "
"// Chandler, M.A., S.J. Richards, and M.J. Shopsin, 2005: EdGCM: Enhancing climate "
"// science education through climate modeling research projects. In Proceedings of the "
"// 85th Annual Meeting of the American Meteorological Society, 14th Symposium on "
"// Education, Jan 8-14, 2005, San Diego, CA, pp. P1.5. http://edgcm.columbia.edu"
"// "
"// Note: This file contains NaN (Not a Number) values for latitude and longitude to "
"// indicate the end of a polygon. The original file used a single ""999"" value instead."
"// A type ""CO"" is assigned, and a comment column contains the polygon name."
"// "
// -------------------------------------------------------------------------------------
Longitude Sphere,Latitude Sphere,Type,Comment
-3.0,-71.3,CO,CO-01(AN)
-4.5,-71.3,CO,CO-01(AN)
-6.0,-71.3,CO,CO-01(AN)
-5.8,-71.0,CO,CO-01(AN)
-5.8,-70.8,CO,CO-01(AN)
-6.8,-70.8,CO,CO-01(AN)
-7.7,-70.8,CO,CO-01(AN)
-7.3,-71.1,CO,CO-01(AN)
-7.7,-71.4,CO,CO-01(AN)
-7.3,-71.7,CO,CO-01(AN)
-8.5,-71.8,CO,CO-01(AN)
-8.7,-71.4,CO,CO-01(AN)
-9.0,-71.2,CO,CO-01(AN)
-9.8,-71.0,CO,CO-01(AN)
-10.5,-71.3,CO,CO-01(AN)
-11.0,-71.6,CO,CO-01(AN)
-11.5,-71.3,CO,CO-01(AN)
-12.2,-71.3,CO,CO-01(AN)
-12.0,-71.7,CO,CO-01(AN)
-11.2,-71.9,CO,CO-01(AN)
-11.3,-72.2,CO,CO-01(AN)
-12.3,-72.6,CO,CO-01(AN)
-13.5,-72.8,CO,CO-01(AN)
-14.7,-72.9,CO,CO-01(AN)
-16.3,-73.1,CO,CO-01(AN)
-17.7,-73.4,CO,CO-01(AN)
-19.3,-73.7,CO,CO-01(AN)
-20.7,-74.1,CO,CO-01(AN)
-22.3,-74.4,CO,CO-01(AN)
-23.7,-74.8,CO,CO-01(AN)
-24.0,-75.3,CO,CO-01(AN)
-26.0,-75.7,CO,CO-01(AN)
-27.0,-76.1,CO,CO-01(AN)
-28.3,-76.5,CO,CO-01(AN)
-30.0,-76.8,CO,CO-01(AN)
-31.7,-77.2,CO,CO-01(AN)
-33.3,-77.5,CO,CO-01(AN)
-35.0,-77.8,CO,CO-01(AN)
-36.3,-78.3,CO,CO-01(AN)
-38.5,-78.7,CO,CO-01(AN)
-41.0,-78.8,CO,CO-01(AN)
-44.0,-78.8,CO,CO-01(AN)
-47.7,-78.7,CO,CO-01(AN)
-49.3,-78.5,CO,CO-01(AN)
-51.7,-78.3,CO,CO-01(AN)
-53.7,-77.9,CO,CO-01(AN)
-56.0,-77.6,CO,CO-01(AN)
-57.7,-77.3,CO,CO-01(AN)
-60.0,-77.1,CO,CO-01(AN)
-62.5,-77.1,CO,CO-01(AN)
-65.0,-77.2,CO,CO-01(AN)
-67.3,-77.0,CO,CO-01(AN)
-65.5,-76.5,CO,CO-01(AN)
-63.7,-76.1,CO,CO-01(AN)
-63.0,-75.7,CO,CO-01(AN)
-63.0,-75.2,CO,CO-01(AN)
-61.7,-75.1,CO,CO-01(AN)
-61.7,-74.7,CO,CO-01(AN)
-60.7,-74.3,CO,CO-01(AN)
-61.0,-73.7,CO,CO-01(AN)
-61.5,-73.4,CO,CO-01(AN)
-60.2,-73.3,CO,CO-01(AN)
-59.8,-73.0,CO,CO-01(AN)
-61.0,-72.7,CO,CO-01(AN)
-60.8,-72.3,CO,CO-01(AN)
-61.7,-72.0,CO,CO-01(AN)
-60.8,-71.6,CO,CO-01(AN)
-61.0,-71.2,CO,CO-01(AN)
-61.7,-70.9,CO,CO-01(AN)
-61.5,-70.6,CO,CO-01(AN)
-62.0,-70.2,CO,CO-01(AN)
-62.3,-69.7,CO,CO-01(AN)
-62.7,-69.1,CO,CO-01(AN)
-63.7,-68.8,CO,CO-01(AN)
-64.8,-68.8,CO,CO-01(AN)
-65.3,-68.3,CO,CO-01(AN)
-64.8,-68.1,CO,CO-01(AN)
-65.5,-67.8,CO,CO-01(AN)
-65.3,-67.3,CO,CO-01(AN)
-64.7,-66.9,CO,CO-01(AN)
-63.7,-66.9,CO,CO-01(AN)
-64.0,-66.5,CO,CO-01(AN)
-63.5,-66.3,CO,CO-01(AN)
-62.7,-66.5,CO,CO-01(AN)
-62.3,-66.1,CO,CO-01(AN)
-62.2,-65.8,CO,CO-01(AN)
-62.0,-65.4,CO,CO-01(AN)
-61.3,-65.0,CO,CO-01(AN)
-60.5,-64.7,CO,CO-01(AN)
-59.7,-64.3,CO,CO-01(AN)
-59.0,-64.5,CO,CO-01(AN)
-58.7,-64.0,CO,CO-01(AN)
-58.2,-64.3,CO,CO-01(AN)
-57.3,-64.4,CO,CO-01(AN)
-57.3,-63.8,CO,CO-01(AN)
-58.2,-63.8,CO,CO-01(AN)
-57.3,-63.6,CO,CO-01(AN)
-56.7,-63.6,CO,CO-01(AN)
-57.2,-63.2,CO,CO-01(AN)
-58.0,-63.3,CO,CO-01(AN)
-58.8,-63.6,CO,CO-01(AN)
-59.7,-63.8,CO,CO-01(AN)
-61.0,-64.0,CO,CO-01(AN)
-61.5,-64.3,CO,CO-01(AN)
-61.7,-64.7,CO,CO-01(AN)
-62.7,-64.7,CO,CO-01(AN)
-63.0,-65.2,CO,CO-01(AN)
-64.0,-65.1,CO,CO-01(AN)
-64.0,-65.5,CO,CO-01(AN)
-65.0,-65.9,CO,CO-01(AN)
-65.8,-66.3,CO,CO-01(AN)
-65.5,-66.6,CO,CO-01(AN)
-66.3,-66.8,CO,CO-01(AN)
-66.3,-67.3,CO,CO-01(AN)
-67.0,-67.0,CO,CO-01(AN)
-67.7,-67.1,CO,CO-01(AN)
-67.8,-66.7,CO,CO-01(AN)
-68.7,-66.9,CO,CO-01(AN)
-69.3,-67.3,CO,CO-01(AN)
-69.3,-67.8,CO,CO-01(AN)
-68.5,-67.8,CO,CO-01(AN)
-67.5,-67.4,CO,CO-01(AN)
-67.5,-67.8,CO,CO-01(AN)
-66.8,-68.1,CO,CO-01(AN)
-66.8,-68.5,CO,CO-01(AN)
-67.3,-68.8,CO,CO-01(AN)
-66.7,-69.1,CO,CO-01(AN)
-67.3,-69.4,CO,CO-01(AN)
-68.5,-69.4,CO,CO-01(AN)
-68.5,-70.0,CO,CO-01(AN)
-68.0,-70.4,CO,CO-01(AN)
-67.5,-70.9,CO,CO-01(AN)
-67.5,-71.5,CO,CO-01(AN)
-67.0,-71.8,CO,CO-01(AN)
-67.0,-72.3,CO,CO-01(AN)
-67.5,-72.8,CO,CO-01(AN)
-68.5,-73.1,CO,CO-01(AN)
-70.0,-73.2,CO,CO-01(AN)
-71.5,-73.3,CO,CO-01(AN)
-73.0,-73.4,CO,CO-01(AN)
-74.5,-73.5,CO,CO-01(AN)
-74.0,-73.0,CO,CO-01(AN)
