"// "
"// Example data file for Orient 3 (Vollmer, 2015)"
// Latitude and longitude formated as spherical projection data
"// "
"// WorldEQ_1980-1990 - Earthquake epicenters 1980-1990, M greater than 4.5 "
"// "
//   and
"// "
// ModernCO - Modern continental outlines
"// "
// See those files for references.
"// "
// -------------------------------------------------------------------------------------
Longitude Sphere,Latitude Sphere,Type,Comment
175.4,51.5,EQ,
155.2,48.4,EQ,
117.2,-7.1,EQ,
138.8,-2.3,EQ,
-179.7,-35.5,EQ,
161.5,54.0,EQ,
152.5,-5.0,EQ,
-178.8,-21.0,EQ,
83.3,43.3,EQ,
158.6,-9.3,EQ,
51.5,29.8,EQ,
-63.3,-27.3,EQ,
119.0,-9.7,EQ,
-69.6,-20.8,EQ,
125.7,9.8,EQ,
154.5,-6.1,EQ,
130.2,-6.2,EQ,
-92.8,14.4,EQ,
179.8,-25.0,EQ,
-27.4,-55.9,EQ,
147.5,-5.8,EQ,
126.2,10.0,EQ,
-71.0,-35.4,EQ,
-88.2,12.5,EQ,
152.3,45.7,EQ,
150.2,-59.8,EQ,
126.8,9.1,EQ,
147.5,-3.9,EQ,
147.5,-4.0,EQ,
148.3,43.9,EQ,
122.8,4.4,EQ,
-175.4,-23.4,EQ,
123.5,14.9,EQ,
126.3,9.9,EQ,
126.3,10.0,EQ,
119.2,14.3,EQ,
85.5,8.1,EQ,
151.6,-5.3,EQ,
166.2,-11.5,EQ,
-30.6,1.8,EQ,
122.9,-0.1,EQ,
142.2,37.2,EQ,
-175.2,-23.5,EQ,
136.5,-1.1,EQ,
121.7,20.0,EQ,
-72.9,-8.8,EQ,
154.7,47.6,EQ,
130.1,35.7,EQ,
130.6,34.8,EQ,
56.3,27.7,EQ,
-27.4,-56.0,EQ,
126.4,26.4,EQ,
-70.7,-20.2,EQ,
-173.5,52.5,EQ,
129.4,29.3,EQ,
-74.4,-13.1,EQ,
125.8,25.8,EQ,
159.8,6.9,EQ,
121.5,-48.9,EQ,
154.2,49.2,EQ,
153.1,-6.3,EQ,
-91.5,14.3,EQ,
127.2,1.4,EQ,
-175.7,-26.7,EQ,
