// Seismic data of intermediate depth earthquakes (100 to 300 km) from the 
// Tonga- Kermadec region, epicenters between 16S and 28S, and 175E and 170W. 
// This set includes both nodal planes as Domain 1 and 2.
//
// From: Global Centroid-Moment-Tensor (CMT) Project
// www.globalcmt.org 
//
// Dziewonski, A. M., T.-A. Chou and J. H. Woodhouse, Determination of earthquake source 
//    parameters from waveform data for studies of global and regional seismicity, 
//    J. Geophys. Res., 86, 2825-2852, 1981. doi:10.1029/JB086iB04p02825
// Ekström, G., M. Nettles, and A. M. Dziewonski, The global CMT project 2004-2010: 
//    Centroid-moment tensors for 13,017 earthquakes, Phys. Earth Planet. Inter., 
//    200-201, 1-9, 2012. doi:10.1016/j.pepi.2012.04.002 
//
ID	Station	Elevation	Latitude	Longitude	Strike	Dip	Rake	Weight	Type	Domain	Notes
20762	B081492B	-120.800	-17.9600000	-173.9500000	200.000000	85.000000	-116.000000	5.236	CMT	2	TONGA ISLANDS
24767	B031395B	-121.100	-16.0700000	-173.3100000	358.000000	35.000000	117.000000	5.166	CMT	1	TONGA ISLANDS
24768	B031395B	-121.100	-16.0700000	-173.3100000	210.000000	59.000000	72.000000	5.166	CMT	2	TONGA ISLANDS
86299	C201501261912A	-121.400	-18.7000000	-174.3500000	143.000000	14.000000	138.000000	5.386	CMT	1	TONGA ISLANDS
86300	C201501261912A	-121.400	-18.7000000	-174.3500000	13.000000	81.000000	79.000000	5.386	CMT	2	TONGA ISLANDS
37241	B111601C	-121.400	-17.6900000	-173.8800000	307.000000	34.000000	158.000000	5.309	CMT	1	TONGA ISLANDS
37242	B111601C	-121.400	-17.6900000	-173.8800000	199.000000	78.000000	58.000000	5.309	CMT	2	TONGA ISLANDS
39635	B011803B	-121.500	-22.5200000	-176.0300000	291.000000	26.000000	5.000000	5.158	CMT	1	SOUTH OF FIJI ISLANDS
39636	B011803B	-121.500	-22.5200000	-176.0300000	25.000000	88.000000	116.000000	5.158	CMT	2	SOUTH OF FIJI ISLANDS
73019	C201203020912A	-122.400	-25.0700000	-176.9000000	251.000000	48.000000	-46.000000	5.118	CMT	1	SOUTH OF FIJI ISLANDS
73020	C201203020912A	-122.400	-25.0700000	-176.9000000	127.000000	58.000000	-128.000000	5.118	CMT	2	SOUTH OF FIJI ISLANDS
86895	C201503150217A	-122.500	-22.3900000	-176.0200000	268.000000	22.000000	13.000000	5.577	CMT	1	SOUTH OF FIJI ISLANDS
86896	C201503150217A	-122.500	-22.3900000	-176.0200000	10.000000	85.000000	112.000000	5.577	CMT	2	SOUTH OF FIJI ISLANDS
9473	B021985A	-122.600	-22.8800000	-176.3500000	176.000000	8.000000	104.000000	5.513	CMT	1	SOUTH OF FIJI ISLANDS
9474	B021985A	-122.600	-22.8800000	-176.3500000	10.000000	83.000000	88.000000	5.513	CMT	2	SOUTH OF FIJI ISLANDS
18733	B031591B	-123.300	-17.0800000	-172.9300000	186.000000	9.000000	-77.000000	5.434	CMT	1	TONGA ISLANDS
18734	B031591B	-123.300	-17.0800000	-172.9300000	20.000000	82.000000	-92.000000	5.434	CMT	2	TONGA ISLANDS
23003	B022394F	-123.500	-17.3700000	-173.5700000	235.000000	7.000000	62.000000	5.918	CMT	1	TONGA ISLANDS
23004	B022394F	-123.500	-17.3700000	-173.5700000	26.000000	84.000000	93.000000	5.918	CMT	2	TONGA ISLANDS
59457	C200809210636A	-123.600	-16.2000000	-173.4100000	20.000000	33.000000	51.000000	5.217	CMT	1	TONGA ISLANDS
59458	C200809210636A	-123.600	-16.2000000	-173.4100000	155.000000	65.000000	113.000000	5.217	CMT	2	TONGA ISLANDS
95625	C201703171018A	-123.700	-23.6000000	-176.6200000	148.000000	21.000000	134.000000	5.463	CMT	1	SOUTH OF FIJI ISLANDS
95626	C201703171018A	-123.700	-23.6000000	-176.6200000	14.000000	75.000000	75.000000	5.463	CMT	2	SOUTH OF FIJI ISLANDS
46185	C200503180934A	-123.700	-22.3600000	-175.7800000	275.000000	23.000000	-5.000000	5.453	CMT	1	SOUTH OF FIJI ISLANDS
46186	C200503180934A	-123.700	-22.3600000	-175.7800000	180.000000	88.000000	-113.000000	5.453	CMT	2	SOUTH OF FIJI ISLANDS
13837	B020688G	-124.000	-16.1000000	-173.4900000	19.000000	6.000000	76.000000	6.181	CMT	1	TONGA ISLANDS
13838	B020688G	-124.000	-16.1000000	-173.4900000	185.000000	84.000000	91.000000	6.181	CMT	2	TONGA ISLANDS
77987	C201304061227A	-124.100	-19.5500000	-174.6700000	238.000000	39.000000	51.000000	5.186	CMT	1	TONGA ISLANDS
77988	C201304061227A	-124.100	-19.5500000	-174.6700000	11.000000	61.000000	118.000000	5.186	CMT	2	TONGA ISLANDS
73405	C201204091154A	-124.200	-25.4000000	-176.8300000	68.000000	48.000000	-36.000000	5.187	CMT	1	SOUTH OF FIJI ISLANDS
73406	C201204091154A	-124.200	-25.4000000	-176.8300000	312.000000	64.000000	-132.000000	5.187	CMT	2	SOUTH OF FIJI ISLANDS
14423	B070288C	-124.300	-18.8200000	-174.4200000	92.000000	14.000000	0.000000	5.317	CMT	1	TONGA ISLANDS
14424	B070288C	-124.300	-18.8200000	-174.4200000	2.000000	90.000000	-104.000000	5.317	CMT	2	TONGA ISLANDS
26375	B011496B	-125.000	-26.8200000	-177.2600000	37.000000	37.000000	-35.000000	5.672	CMT	1	SOUTH OF FIJI ISLANDS
26376	B011496B	-125.000	-26.8200000	-177.2600000	278.000000	70.000000	-121.000000	5.672	CMT	2	SOUTH OF FIJI ISLANDS
25519	C072895B	-125.300	-21.1800000	-174.9000000	106.000000	18.000000	-6.000000	6.386	CMT	1	TONGA ISLANDS
25520	C072895B	-125.300	-21.1800000	-174.9000000	10.000000	88.000000	-108.000000	6.386	CMT	2	TONGA ISLANDS
21989	B052793B	-125.900	-16.6100000	-173.7100000	54.000000	11.000000	45.000000	5.256	CMT	1	TONGA ISLANDS
21990	B052793B	-125.900	-16.6100000	-173.7100000	189.000000	82.000000	98.000000	5.256	CMT	2	TONGA ISLANDS
86423	C201502040151A	-126.000	-22.0200000	-175.4500000	279.000000	24.000000	3.000000	5.044	CMT	1	TONGA ISLANDS
86424	C201502040151A	-126.000	-22.0200000	-175.4500000	12.000000	89.000000	114.000000	5.044	CMT	2	TONGA ISLANDS
50503	C200605101841A	-126.300	-22.6200000	-176.0900000	223.000000	35.000000	59.000000	5.188	CMT	1	SOUTH OF FIJI ISLANDS
50504	C200605101841A	-126.300	-22.6200000	-176.0900000	6.000000	60.000000	110.000000	5.188	CMT	2	SOUTH OF FIJI ISLANDS
92889	C201608102323A	-126.400	-20.9100000	-175.0300000	308.000000	19.000000	-12.000000	4.828	CMT	1	TONGA ISLANDS
92890	C201608102323A	-126.400	-20.9100000	-175.0300000	207.000000	86.000000	-108.000000	4.828	CMT	2	TONGA ISLANDS
9419	B020185A	-127.300	-17.6700000	-174.0100000	235.000000	10.000000	50.000000	5.823	CMT	1	TONGA ISLANDS
9420	B020185A	-127.300	-17.6700000	-174.0100000	14.000000	82.000000	96.000000	5.823	CMT	2	TONGA ISLANDS
58683	C200807070445A	-127.600	-16.4400000	-173.7100000	128.000000	30.000000	-161.000000	5.561	CMT	1	TONGA ISLANDS
58684	C200807070445A	-127.600	-16.4400000	-173.7100000	235.000000	80.000000	-61.000000	5.561	CMT	2	TONGA ISLANDS
15277	B010289B	-127.900	-18.4900000	-174.3900000	92.000000	18.000000	60.000000	6.169	CMT	1	TONGA ISLANDS
15278	B010289B	-127.900	-18.4900000	-174.3900000	241.000000	74.000000	99.000000	6.169	CMT	2	TONGA ISLANDS
23009	B022494D	-128.000	-17.3300000	-173.6900000	238.000000	10.000000	54.000000	6.137	CMT	1	TONGA ISLANDS
23010	B022494D	-128.000	-17.3300000	-173.6900000	23.000000	82.000000	96.000000	6.137	CMT	2	TONGA ISLANDS
17393	B050990C	-128.100	-18.8100000	-173.9200000	280.000000	32.000000	-148.000000	5.202	CMT	1	TONGA ISLANDS
17394	B050990C	-128.100	-18.8100000	-173.9200000	38.000000	74.000000	-62.000000	5.202	CMT	2	TONGA ISLANDS
58495	C200806181834A	-128.600	-18.3100000	-174.1800000	286.000000	17.000000	-8.000000	5.098	CMT	1	TONGA ISLANDS
58496	C200806181834A	-128.600	-18.3100000	-174.1800000	188.000000	88.000000	-107.000000	5.098	CMT	2	TONGA ISLANDS
11625	B090686B	-128.800	-23.1500000	-176.8600000	197.000000	24.000000	83.000000	5.415	CMT	1	SOUTH OF FIJI ISLANDS
11626	B090686B	-128.800	-23.1500000	-176.8600000	9.000000	67.000000	93.000000	5.415	CMT	2	SOUTH OF FIJI ISLANDS
39737	B020703F	-129.000	-20.8900000	-175.2700000	162.000000	7.000000	85.000000	5.462	CMT	1	TONGA ISLANDS
39738	B020703F	-129.000	-20.8900000	-175.2700000	337.000000	83.000000	91.000000	5.462	CMT	2	TONGA ISLANDS
61125	C200903122304A	-129.000	-17.3600000	-173.8000000	271.000000	16.000000	15.000000	5.121	CMT	1	TONGA ISLANDS
61126	C200903122304A	-129.000	-17.3600000	-173.8000000	16.000000	86.000000	105.000000	5.121	CMT	2	TONGA ISLANDS
23011	B022594A	-129.000	-17.2800000	-173.7900000	192.000000	10.000000	99.000000	5.713	CMT	1	TONGA ISLANDS
23012	B022594A	-129.000	-17.2800000	-173.7900000	22.000000	80.000000	88.000000	5.713	CMT	2	TONGA ISLANDS
67335	C201011292011A	-129.600	-16.5800000	-173.7100000	128.000000	23.000000	165.000000	5.130	CMT	1	TONGA ISLANDS
