//
// Example data file for Orient 3 (Vollmer, 2015)
// Latitude and longitude formated as spherical projection data
//
// Modern continental outlines from data file Modern.cno of EdGCM Global Climate
// Modeling software (2005) http://edgcm.columbia.edu/:
//
// Chandler, M.A., S.J. Richards, and M.J. Shopsin, 2005: EdGCM: Enhancing climate 
// science education through climate modeling research projects. In Proceedings of the 
// 85th Annual Meeting of the American Meteorological Society, 14th Symposium on 
// Education, Jan 8-14, 2005, San Diego, CA, pp. P1.5. http://edgcm.columbia.edu
//
// Note: This file contains NaN (Not a Number) values for latitude and longitude to 
// indicate the end of a polygon. The original file used a single "999" value instead.
// A type "CO" is assigned, and a comment column contains the polygon name.
//
// -------------------------------------------------------------------------------------
Lat Sphere	Long Sphere	Type	Comment
-76.50	331.67	CO	CO-01(AN)
-76.83	330.00	CO	CO-01(AN)
-77.17	328.33	CO	CO-01(AN)
-77.50	326.67	CO	CO-01(AN)
-77.83	325.00	CO	CO-01(AN)
-78.33	323.67	CO	CO-01(AN)
-78.75	321.50	CO	CO-01(AN)
-78.83	319.00	CO	CO-01(AN)
-78.83	316.00	CO	CO-01(AN)
-78.75	312.33	CO	CO-01(AN)
-78.50	310.67	CO	CO-01(AN)
-78.25	308.33	CO	CO-01(AN)
-77.92	306.33	CO	CO-01(AN)
-77.58	304.00	CO	CO-01(AN)
-77.25	302.33	CO	CO-01(AN)
-77.08	300.00	CO	CO-01(AN)
-77.08	297.50	CO	CO-01(AN)
-77.17	295.00	CO	CO-01(AN)
-77.00	292.67	CO	CO-01(AN)
-76.50	294.50	CO	CO-01(AN)
-76.08	296.33	CO	CO-01(AN)
-75.67	297.00	CO	CO-01(AN)
-75.17	297.00	CO	CO-01(AN)
-75.08	298.33	CO	CO-01(AN)
-74.67	298.33	CO	CO-01(AN)
-74.33	299.33	CO	CO-01(AN)
-73.75	299.00	CO	CO-01(AN)
-73.42	298.50	CO	CO-01(AN)
-73.33	299.83	CO	CO-01(AN)
-73.00	300.17	CO	CO-01(AN)
-72.67	299.00	CO	CO-01(AN)
-72.33	299.17	CO	CO-01(AN)
-72.00	298.33	CO	CO-01(AN)
-71.58	299.17	CO	CO-01(AN)
-71.17	299.00	CO	CO-01(AN)
-70.92	298.33	CO	CO-01(AN)
-70.58	298.50	CO	CO-01(AN)
-70.17	298.00	CO	CO-01(AN)
-69.67	297.67	CO	CO-01(AN)
-69.08	297.33	CO	CO-01(AN)
-68.75	296.33	CO	CO-01(AN)
-68.75	295.17	CO	CO-01(AN)
-68.33	294.67	CO	CO-01(AN)
-68.08	295.17	CO	CO-01(AN)
-67.83	294.50	CO	CO-01(AN)
-67.33	294.67	CO	CO-01(AN)
-66.92	295.33	CO	CO-01(AN)
-66.92	296.33	CO	CO-01(AN)
-66.50	296.00	CO	CO-01(AN)
-66.25	296.50	CO	CO-01(AN)
-66.50	297.33	CO	CO-01(AN)
-66.08	297.67	CO	CO-01(AN)
-65.75	297.83	CO	CO-01(AN)
-65.42	298.00	CO	CO-01(AN)
-65.00	298.67	CO	CO-01(AN)
-64.67	299.50	CO	CO-01(AN)
-64.33	300.33	CO	CO-01(AN)
-64.50	301.00	CO	CO-01(AN)
-64.00	301.33	CO	CO-01(AN)
-64.33	301.83	CO	CO-01(AN)
-64.42	302.67	CO	CO-01(AN)
-63.83	302.75	CO	CO-01(AN)
-63.83	301.83	CO	CO-01(AN)
-63.58	302.67	CO	CO-01(AN)
-63.58	303.33	CO	CO-01(AN)
-63.25	302.83	CO	CO-01(AN)
-63.33	302.00	CO	CO-01(AN)
-63.58	301.17	CO	CO-01(AN)
-63.83	300.33	CO	CO-01(AN)
